"Code","Description","Condition","Sub-condition"
"3272.","ECG: atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"3273.","ECG: atrial flutter","Atrial fibrillation","Atrial fibrillation"
"G573.","Atrial fibrillation and flutter","Atrial fibrillation","Atrial fibrillation"
"G5730","Atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"G5731","Atrial flutter","Atrial fibrillation","Atrial fibrillation"
"G5732","See Xa2E8 (Paroxysmal atrial fibrillation)","Atrial fibrillation","Atrial fibrillation"
"G573z","Atrial fibrillation and flutter NOS","Atrial fibrillation","Atrial fibrillation"
"X202R","Lone atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"X202S","Non-rheumatic atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"Xa2E8","Paroxysmal atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"Xa7nI","Controlled atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"XaaUH","Paroxysmal atrial flutter","Atrial fibrillation","Atrial fibrillation"
"XaDv6","H/O: atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"XaEga","Rapid atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"XaeUP","Chronic atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"XaIIT","Atrial fibrillation monitoring","Atrial fibrillation","Atrial fibrillation"
"XaLFh","Exception reporting: atrial fibrillation quality indicators","Atrial fibrillation","Atrial fibrillation"
"XaLFi","Excepted from atrial fibrillation quality indicators: Patient unsuitable","Atrial fibrillation","Atrial fibrillation"
"XaLFj","Excepted from atrial fibrillation quality indicators: Informed dissent","Atrial fibrillation","Atrial fibrillation"
"XaLFz","Atrial fibrillation resolved","Atrial fibrillation","Atrial fibrillation"
"XaMDF","Atrial fibrillation monitoring administration","Atrial fibrillation","Atrial fibrillation"
"XaMDG","Atrial fibrillation monitoring first letter","Atrial fibrillation","Atrial fibrillation"
"XaMDH","Atrial fibrillation monitoring second letter","Atrial fibrillation","Atrial fibrillation"
"XaMDI","Atrial fibrillation monitoring third letter","Atrial fibrillation","Atrial fibrillation"
"XaMDK","Atrial fibrillation monitoring verbal invite","Atrial fibrillation","Atrial fibrillation"
"XaMFn","Atrial fibrillation monitoring telephone invite","Atrial fibrillation","Atrial fibrillation"
"XaMGD","Atrial fibrillation annual review","Atrial fibrillation","Atrial fibrillation"
"XaNRA","History of atrial flutter","Atrial fibrillation","Atrial fibrillation"
"XaOfa","Persistent atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"XaOft","Permanent atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
