"Code","Description","Condition","Sub-condition"
"14B4.","H/O: asthma","Asthma","Asthma"
"173A.","Exercise-induced asthma","Asthma","Asthma"
"21262","Asthma resolved","Asthma","Asthma"
"663d.","Emergency asthma admission since last appointment","Asthma","Asthma"
"663e.","Asthma restricts exercise","Asthma","Asthma"
"663e0","Asthma sometimes restricts exercise","Asthma","Asthma"
"663e1","Asthma severely restricts exercise","Asthma","Asthma"
"663f.","Asthma never restricts exercise","Asthma","Asthma"
"663N.","Asthma disturbing sleep","Asthma","Asthma"
"663N0","Asthma causing night waking","Asthma","Asthma"
"663N1","Asthma disturbs sleep weekly","Asthma","Asthma"
"663N2","Asthma disturbs sleep frequently","Asthma","Asthma"
"663O.","Asthma not disturbing sleep","Asthma","Asthma"
"663O0","Asthma never disturbs sleep","Asthma","Asthma"
"663P.","Asthma limiting activities","Asthma","Asthma"
"663Q.","Asthma not limiting activities","Asthma","Asthma"
"663U.","Asthma management plan given","Asthma","Asthma"
"663V.","Asthma severity","Asthma","Asthma"
"663V0","Occasional asthma","Asthma","Asthma"
"663V1","Mild asthma","Asthma","Asthma"
"663V2","Moderate asthma","Asthma","Asthma"
"663V3","Severe asthma","Asthma","Asthma"
"8794.","Asthma control step 1","Asthma","Asthma"
"8795.","Asthma control step 2","Asthma","Asthma"
"8796.","Asthma control step 3","Asthma","Asthma"
"8797.","Asthma control step 4","Asthma","Asthma"
"8798.","Asthma control step 5","Asthma","Asthma"
"8H2P.","Emergency admission, asthma","Asthma","Asthma"
"H33..","Asthma","Asthma","Asthma"
"H330.","Asthma: [extrinsic - atopic] or [allergic] or [pollen] or [childhood] or [with hay fever]","Asthma","Asthma"
"H3300","(Hay fever with asthma) or (extrinsic asthma without status asthmaticus)","Asthma","Asthma"
"H330z","Extrinsic asthma NOS","Asthma","Asthma"
"H331.","(Intrinsic asthma) or (late onset asthma)","Asthma","Asthma"
"H3310","Intrinsic asthma without status asthmaticus","Asthma","Asthma"
"H331z","Intrinsic asthma NOS","Asthma","Asthma"
"H332.","Mixed asthma","Asthma","Asthma"
"H33z.","Asthma unspecified","Asthma","Asthma"
"H33z0","(Severe asthma attack) or (status asthmaticus NOS)","Asthma","Asthma"
"H33z1","Asthma attack (& NOS)","Asthma","Asthma"
"H33z2","See X101u (Late onset asthma)","Asthma","Asthma"
"H33zz","(Asthma: [exercise induced] or [allergic NEC] or [NOS]) or (allergic bronchitis NEC)","Asthma","Asthma"
"Ua1AX","Brittle asthma","Asthma","Asthma"
"X101t","Childhood asthma","Asthma","Asthma"
"X101u","Late onset asthma","Asthma","Asthma"
"X101x","Allergic asthma","Asthma","Asthma"
"X101y","Extrinsic asthma with asthma attack","Asthma","Asthma"
"X101z","Allergic asthma NEC","Asthma","Asthma"
"X1020","Hay fever with asthma","Asthma","Asthma"
"X1021","Allergic non-atopic asthma","Asthma","Asthma"
"X1022","Intrinsic asthma with asthma attack","Asthma","Asthma"
"X1023","Drug-induced asthma","Asthma","Asthma"
"X1024","Aspirin-sensitive asthma with nasal polyps","Asthma","Asthma"
"X1025","Occupational asthma","Asthma","Asthma"
"X1029","Sulphite-induced asthma","Asthma","Asthma"
"X102D","Status asthmaticus","Asthma","Asthma"
"Xa1hD","Exacerbation of asthma","Asthma","Asthma"
"Xa9zf","Acute asthma","Asthma","Asthma"
"Xac33","Asthma-chronic obstructive pulmonary disease overlap syndrome","Asthma","Asthma"
"XacXj","At risk of severe asthma exacerbation","Asthma","Asthma"
"XaDvK","Asthma - currently active","Asthma","Asthma"
"XaDvL","Asthma - currently dormant","Asthma","Asthma"
"XaIIW","Asthma accident and emergency attendance since last visit","Asthma","Asthma"
"XaIIZ","Asthma daytime symptoms","Asthma","Asthma"
"XaINa","Asthma never causes daytime symptoms","Asthma","Asthma"
"XaINb","Asthma causes daytime symptoms 1 to 2 times per month","Asthma","Asthma"
"XaINc","Asthma causes daytime symptoms 1 to 2 times per week","Asthma","Asthma"
"XaINd","Asthma causes daytime symptoms most days","Asthma","Asthma"
"XaINf","Asthma limits walking up hills or stairs","Asthma","Asthma"
"XaINg","Asthma limits walking on the flat","Asthma","Asthma"
"XaINh","Number of asthma exacerbations in past year","Asthma","Asthma"
"XaINZ","Asthma causes night symptoms 1 to 2 times per month","Asthma","Asthma"
"XaIoE","Asthma night-time symptoms","Asthma","Asthma"
"XaIQ4","Change in asthma management plan","Asthma","Asthma"
"XaIQD","Step up change in asthma management plan","Asthma","Asthma"
"XaIQE","Step down change in asthma management plan","Asthma","Asthma"
"XaJFG","Aspirin-induced asthma","Asthma","Asthma"
"XaJYe","Asthma clinical management plan","Asthma","Asthma"
"XaKdk","Work aggravated asthma","Asthma","Asthma"
"XaLPE","Nocturnal asthma","Asthma","Asthma"
"XaRFi","Patient has a written asthma personal action plan","Asthma","Asthma"
"XaX3n","Asthma review using Royal College of Physicians three questions","Asthma","Asthma"
"XaXa0","Royal College of Physicians asthma assessment three questions score","Asthma","Asthma"
"XaXZm","Asthma causes night time symptoms 1 to 2 times per week","Asthma","Asthma"
"XaXZp","Asthma causes symptoms most nights","Asthma","Asthma"
"XaXZs","Asthma limits activities 1 to 2 times per month","Asthma","Asthma"
"XaXZu","Asthma limits activities 1 to 2 times per week","Asthma","Asthma"
"XaXZx","Asthma limits activities most days","Asthma","Asthma"
"XaY2V","Asthma never causes night symptoms","Asthma","Asthma"
"XaYb8","Asthma self-management plan agreed","Asthma","Asthma"
"XaYZB","Asthma self-management plan review","Asthma","Asthma"
"XE0YQ","Allergic atopic asthma","Asthma","Asthma"
"XE0YR","Extrinsic asthma without status asthmaticus","Asthma","Asthma"
"XE0YS","Extrinsic asthma with status asthmaticus","Asthma","Asthma"
