"Code","Description","Condition","Sub-condition"
"E11..","Affective psychoses (& [bipolar] or [depressive] or [manic])","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E110.","(Manic disorder, single episode) or (hypomanic psychoses)","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1100","Single manic episode, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1101","Single manic episode, mild","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1102","Single manic episode, moderate","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1103","Single manic episode, severe without mention of psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1104","Single manic episode, severe, with psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1105","Single manic episode in partial or unspecified remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1106","Single manic episode in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E111.","Recurrent manic episodes","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1111","Recurrent manic episodes, mild","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1112","Recurrent manic episodes, moderate","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1114","Recurrent manic episodes, severe, with psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1116","Recurrent manic episodes, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E111z","Recurrent manic episode NOS","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E114.","Bipolar affective disorder, current episode manic","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1140","Bipolar affective disorder, currently manic, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1141","Bipolar affective disorder, currently manic, mild","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1142","Bipolar affective disorder, currently manic, moderate","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1143","Bipolar affective disorder, currently manic, severe, without mention of psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1144","Bipolar affective disorder, currently manic, severe, with psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1145","Bipolar affective disorder, currently manic, in partial or unspecified remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1146","Bipolar affective disorder, currently manic, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E115.","Bipolar affective disorder, current episode depression","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1150","Bipolar affective disorder, currently depressed, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1151","Bipolar affective disorder, currently depressed, mild","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1152","Bipolar affective disorder, currently depressed, moderate","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1153","Bipolar affective disorder, currently depressed, severe, without mention of psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1154","Bipolar affective disorder, currently depressed, severe, with psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1155","Bipolar affective disorder, currently depressed, in partial or unspecified remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1156","Bipolar affective disorder, currently depressed, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E115z","Bipolar affective disorder, currently depressed, NOS","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E116.","Mixed bipolar affective disorder","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1160","Mixed bipolar affective disorder, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1161","Mixed bipolar affective disorder, mild","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1162","Mixed bipolar affective disorder, moderate","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1163","Mixed bipolar affective disorder, severe, without mention of psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1164","Mixed bipolar affective disorder, severe, with psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1166","Mixed bipolar affective disorder, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E116z","Mixed bipolar affective disorder, NOS","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E117.","Unspecified bipolar affective disorder","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1170","Unspecified bipolar affective disorder, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1171","Unspecified bipolar affective disorder, mild","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
