"Code","Description","Condition","Sub-condition"
"14E1.","H/O: prostatism","Hyperplasia of prostate","Hyperplasia of prostate"
"1AA..","Prostatism","Hyperplasia of prostate","Hyperplasia of prostate"
"B7C2.","Benign tumour of prostate","Hyperplasia of prostate","Hyperplasia of prostate"
"K20..","(Benign prostate tumour (& [adenoma] or [fibroma] or [myoma]) or prostatism or benign prostatic hypertrophy","Hyperplasia of prostate","Hyperplasia of prostate"
"K200.","Prostatic hyperplasia unspecified","Hyperplasia of prostate","Hyperplasia of prostate"
"K201.","Prostatic hyperplasia of the lateral lobe","Hyperplasia of prostate","Hyperplasia of prostate"
"K20z.","Prostatic hyperplasia NOS","Hyperplasia of prostate","Hyperplasia of prostate"
"X30Nz","Prostatic obstruction","Hyperplasia of prostate","Hyperplasia of prostate"
"X30O0","Benign prostatic hypertroph with outflow obstruction","Hyperplasia of prostate","Hyperplasia of prostate"
"X78YD","Benign prostatic hypertroph without outflow obstruction","Hyperplasia of prostate","Hyperplasia of prostate"
"Xa3fu","Adenoma - prostate","Hyperplasia of prostate","Hyperplasia of prostate"
"XE0e6","Benign prostatic hyperplasia","Hyperplasia of prostate","Hyperplasia of prostate"
"XE2Rb","Prostate: [benign hypertrophy] or [adenoma]","Hyperplasia of prostate","Hyperplasia of prostate"
