"Code","Description","Condition","Sub-condition"
"H34..","Bronchiectasis","Bronchiectasis","Bronchiectasis"
"H340.","Recurrent bronchiectasis","Bronchiectasis","Bronchiectasis"
"H341.","Post-infective bronchiectasis","Bronchiectasis","Bronchiectasis"
"H34z.","Bronchiectasis NOS","Bronchiectasis","Bronchiectasis"
"P861.","Congenital bronchiectasis","Bronchiectasis","Bronchiectasis"
"X100l","Congenital cystic bronchiectasis","Bronchiectasis","Bronchiectasis"
"X100m","Acquired bronchiectasis","Bronchiectasis","Bronchiectasis"
"X100n","Idiopathic bronchiectasis","Bronchiectasis","Bronchiectasis"
"X100o","Obstructive bronchiectasis","Bronchiectasis","Bronchiectasis"
"Xabud","H/O: bronchiectasis","Bronchiectasis","Bronchiectasis"
