"Code","Description","Condition","Sub-condition"
"14A3.","H/O: myocardial infarct at less than 60","Coronary heart disease",""
"14A4.","H/O: myocardial infarct at greater than 60","Coronary heart disease",""
"14A5.","H/O: angina pectoris","Coronary heart disease",""
"323..","ECG: myocardial infarction","Coronary heart disease",""
"3232.","ECG: old myocardial infarction","Coronary heart disease",""
"3233.","ECG: anteroseptal infarction","Coronary heart disease",""
"3234.","ECG:posterior/inferior infarct","Coronary heart disease",""
"3235.","ECG: subendocardial infarct","Coronary heart disease",""
"3236.","ECG: lateral infarction","Coronary heart disease",""
"323Z.","ECG: myocardial infarct NOS","Coronary heart disease",""
"662K.","Angina control","Coronary heart disease",""
"662K0","Angina control - good","Coronary heart disease",""
"662K1","Angina control - poor","Coronary heart disease",""
"662K2","Angina control - improving","Coronary heart disease",""
"662K3","Angina control - worsening","Coronary heart disease",""
"662Kz","Angina control NOS","Coronary heart disease",""
"662N.","CHD monitoring","Coronary heart disease",""
"792..","Coronary artery operations (& bypass)","Coronary heart disease",""
"7920.","Saphenous vein graft bypass of coronary artery","Coronary heart disease",""
"79200","Saphenous vein graft replacement of one coronary artery","Coronary heart disease",""
"79201","Saphenous vein graft replacement of two coronary arteries","Coronary heart disease",""
"79202","Saphenous vein graft replacement of three coronary arteries","Coronary heart disease",""
"79203","Saphenous vein graft replacement of four or more coronary arteries","Coronary heart disease",""
"7920y","Other specified saphenous vein graft replacement of coronary artery","Coronary heart disease",""
"7920z","Saphenous vein graft replacement coronary artery NOS","Coronary heart disease",""
"7921.","Other autograft replacement of coronary artery","Coronary heart disease",""
"79210","Autograft replacement of one coronary artery NEC","Coronary heart disease",""
"79211","Autograft replacement of two coronary arteries NEC","Coronary heart disease",""
"79212","Autograft replacement of three coronary arteries NEC","Coronary heart disease",""
"79213","Autograft replacement of four of more coronary arteries NEC","Coronary heart disease",""
"7922.","Allograft bypass of coronary artery","Coronary heart disease",""
"79221","Allograft replacement of two coronary arteries","Coronary heart disease",""
"79223","Allograft replacement of four or more coronary arteries","Coronary heart disease",""
"7923.","Prosthetic bypass of coronary artery","Coronary heart disease",""
"79232","Prosthetic replacement of three coronary arteries","Coronary heart disease",""
"7924.","Revision of bypass for coronary artery","Coronary heart disease",""
"79241","Revision of bypass for two coronary arteries","Coronary heart disease",""
"7925.","Connection of mammary artery to coronary artery","Coronary heart disease",""
"79252","Single anastomosis of mammary artery to left anterior descending coronary artery","Coronary heart disease",""
"7925z","Connection of mammary artery to coronary artery NOS","Coronary heart disease",""
"7926z","Connection of other thoracic artery to coronary artery NOS","Coronary heart disease",""
"79275","Open angioplasty of coronary artery","Coronary heart disease",""
"7928.","Percutaneous balloon angioplasty of coronary artery","Coronary heart disease",""
"79280","Percutaneous transluminal balloon angioplasty of one coronary artery","Coronary heart disease",""
