"Code","Description","Condition","Sub-condition"
"14B3.","H/O: [COAD] or [bronchitis]","COPD","COPD"
"H3...","Chronic obstructive lung disease","COPD","COPD"
"H31..","Chronic bronchitis","COPD","COPD"
"H310.","Simple chronic bronchitis","COPD","COPD"
"H310z","Simple chronic bronchitis NOS","COPD","COPD"
"H311.","Mucopurulent chronic bronchitis","COPD","COPD"
"H3120","Chronic asthmatic bronchitis","COPD","COPD"
"H3121","Emphysematous bronchitis","COPD","COPD"
"H3122","Acute exacerbation of chronic obstructive airways disease","COPD","COPD"
"H312z","Obstructive chronic bronchitis NOS","COPD","COPD"
"H31y.","Other chronic bronchitis","COPD","COPD"
"H31z.","Chronic bronchitis NOS","COPD","COPD"
"H32..","Emphysema","COPD","COPD"
"H320.","Chronic bullous emphysema","COPD","COPD"
"H3201","Zonal bullous emphysema","COPD","COPD"
"H3202","Giant bullous emphysema","COPD","COPD"
"H320z","Chronic bullous emphysema NOS","COPD","COPD"
"H322.","Centrilobular emphysema","COPD","COPD"
"H32y.","Other emphysema","COPD","COPD"
"H32z.","Emphysema NOS","COPD","COPD"
"H3y..","Other specified chronic obstructive airways disease","COPD","COPD"
"H3y0.","Chronic obstructive pulmonary disease with acute lower respiratory infection","COPD","COPD"
"H3z..","Chronic obstructive airways disease NOS","COPD","COPD"
"Hyu30","[X]Other emphysema","COPD","COPD"
"Hyu31","[X]Other specified chronic obstructive pulmonary disease","COPD","COPD"
"X101i","Chronic obstructive pulmonary disease with acute exacerbation, unspecified","COPD","COPD"
"X101l","Bronchiolitis obliterans","COPD","COPD"
"X101n","Pulmonary emphysema","COPD","COPD"
"Xa35l","Acute infective exacerbation of chronic obstructive airways disease","COPD","COPD"
"Xaam4","Chronic obstructive pulmonary disease management plan declined","COPD","COPD"
"XaavA","Shared care chronic obstructive pulmonary disease monitoring","COPD","COPD"
"Xac33","Asthma-chronic obstructive pulmonary disease overlap syndrome","COPD","COPD"
"XaEIV","Mild chronic obstructive pulmonary disease","COPD","COPD"
"XaEIW","Moderate chronic obstructive pulmonary disease","COPD","COPD"
"XaEIY","Severe chronic obstructive pulmonary disease","COPD","COPD"
"XaIet","Chronic obstructive pulmonary disease annual review","COPD","COPD"
"XaIND","End stage chronic obstructive airways disease","COPD","COPD"
"XaIQT","Chronic obstructive pulmonary disease monitoring","COPD","COPD"
"XaIRO","Chronic obstructive pulmonary disease monitoring due","COPD","COPD"
"XaIu7","Chronic obstructive pulmonary disease monitoring by nurse","COPD","COPD"
"XaIu8","Chronic obstructive pulmonary disease monitoring by doctor","COPD","COPD"
