"Code","Description","Condition","Sub-condition"
"1461.","H/O: dementia","Dementia","Dementia"
"E000.","Uncomplicated senile dementia","Dementia","Dementia"
"E001.","Presenile dementia","Dementia","Dementia"
"E001z","Presenile dementia NOS","Dementia","Dementia"
"E0020","Senile dementia with paranoia","Dementia","Dementia"
"E041.","Dementia in conditions EC","Dementia","Dementia"
"Eu00.","[X]Dementia in Alzheimer's disease","Dementia","Dementia"
"Eu002","[X]Dementia in Alzheimer's dis, atypical or mixed type","Dementia","Dementia"
"Eu00z","[X]Dementia in Alzheimer's disease, unspecified","Dementia","Dementia"
"Eu01y","[X]Other vascular dementia","Dementia","Dementia"
"Eu01z","[X]Vascular dementia, unspecified","Dementia","Dementia"
"Eu02.","[X]Dementia in other diseases classified elsewhere","Dementia","Dementia"
"Eu020","[X]Dementia in Pick's disease","Dementia","Dementia"
"Eu023","[X]Dementia in Parkinson's disease","Dementia","Dementia"
"Eu02z","[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type]","Dementia","Dementia"
"Eu041","[X]Delirium superimposed on dementia","Dementia","Dementia"
"F110.","Alzheimer's disease","Dementia","Dementia"
"F1101","See X0030 (Dementia in Alzheimer's disease with late onset)","Dementia","Dementia"
"F111.","Pick's disease","Dementia","Dementia"
"Fyu30","[X]Other Alzheimer's disease","Dementia","Dementia"
"X002w","Dementia","Dementia","Dementia"
"X002x","Dementia in Alzheimer's disease with early onset","Dementia","Dementia"
"X0030","Dementia in Alzheimer's disease with late onset","Dementia","Dementia"
"X0034","Frontotemporal dementia","Dementia","Dementia"
"X0037","Frontotemporal degeneration","Dementia","Dementia"
"X003A","Lewy body disease","Dementia","Dementia"
"X003G","Progressive aphasia in Alzheimer's disease","Dementia","Dementia"
"X003l","Parkinson's disease - dementia complex on Guam","Dementia","Dementia"
"X003m","Corticobasal degeneration","Dementia","Dementia"
"X003T","Subcortical vascular dementia","Dementia","Dementia"
"X003V","Mixed cortical and subcortical vascular dementia","Dementia","Dementia"
"X003W","Semantic dementia","Dementia","Dementia"
"X00R2","Senile dementia","Dementia","Dementia"
"X00Rk","Alcoholic dementia NOS","Dementia","Dementia"
"Xa0lH","Multi-infarct dementia","Dementia","Dementia"
"Xa0sE","Dementia of frontal lobe type","Dementia","Dementia"
"Xa25J","Alcoholic dementia","Dementia","Dementia"
"Xa3ez","Other senile/presenile dementia","Dementia","Dementia"
"XabEk","Dementia advance care plan agreed","Dementia","Dementia"
"XabEl","Review of dementia advance care plan","Dementia","Dementia"
"XacIx","Dementia care plan agreed","Dementia","Dementia"
"XacIy","Dementia care plan reviewed","Dementia","Dementia"
"XacIz","Dementia care plan declined","Dementia","Dementia"
"XacLx","Dementia advance care plan","Dementia","Dementia"
"XaE74","Senile dementia of the Lewy body type","Dementia","Dementia"
"XaIKB","Alzheimer's disease with early onset","Dementia","Dementia"
"XaIKC","Alzheimer's disease with late onset","Dementia","Dementia"
"XaKyY","[X]Lewy body dementia","Dementia","Dementia"
"XaLFf","Exception reporting: dementia quality indicators","Dementia","Dementia"
"XaLFo","Excepted from dementia quality indicators: Patient unsuitable","Dementia","Dementia"
"XaLFp","Excepted from dementia quality indicators: Informed dissent","Dementia","Dementia"
"XaMFy","Dementia monitoring administration","Dementia","Dementia"
"XaMG0","Dementia monitoring first letter","Dementia","Dementia"
"XaMGF","Dementia annual review","Dementia","Dementia"
"XaMGG","Dementia monitoring second letter","Dementia","Dementia"
"XaMGI","Dementia monitoring third letter","Dementia","Dementia"
"XaMGJ","Dementia monitoring verbal invite","Dementia","Dementia"
"XaMGK","Dementia monitoring telephone invite","Dementia","Dementia"
"XaMJC","Dementia monitoring","Dementia","Dementia"
"XaYFR","Referral to dementia care advisor","Dementia","Dementia"
"XaZqJ","Referral to dementia service","Dementia","Dementia"
"XE1Xs","Vascular dementia","Dementia","Dementia"
"XE1Z6","[X]Unspecified dementia","Dementia","Dementia"
