"Code","Description","Condition","Sub-condition"
"1465.","H/O: depression","Depression","Depression"
"62T1.","Postnatal depressive disorder","Depression","Depression"
"E112.","Depression: [single major episode] or [agitated] or [endogenous (including first episode)]","Depression","Depression"
"E1120","Single major depressive episode, unspecified","Depression","Depression"
"E1121","Single major depressive episode, mild","Depression","Depression"
"E1122","Single major depressive episode, moderate","Depression","Depression"
"E1123","Single major depressive episode, severe, without mention of psychosis","Depression","Depression"
"E1126","Single major depressive episode, in full remission","Depression","Depression"
"E112z","Single major depressive episode NOS","Depression","Depression"
"E113.","Recurrent depression: [major episode] or [endogenous]","Depression","Depression"
"E1130","Recurrent major depressive episodes, unspecified","Depression","Depression"
"E1131","Recurrent major depressive episodes, mild","Depression","Depression"
"E1132","Recurrent major depressive episodes, moderate","Depression","Depression"
"E1133","Recurrent major depressive episodes, severe, without mention of psychosis","Depression","Depression"
"E1135","Recurrent major depressive episodes, in partial or unspecified remission","Depression","Depression"
"E1136","Recurrent major depressive episodes, in full remission","Depression","Depression"
"E1137","Recurrent depression","Depression","Depression"
"E113z","Recurrent major depressive episode NOS","Depression","Depression"
"E11y2","Atypical depressive disorder","Depression","Depression"
"E204.","(Neurotic depression reactive type) or (postnatal depression)","Depression","Depression"
"E2112","Dysthymia","Depression","Depression"
"E291.","Prolonged depressive adjustment reaction","Depression","Depression"
"E2B..","Depressive disorder NEC","Depression","Depression"
"E2B1.","Chronic depression","Depression","Depression"
"Eu320","[X]Mild depressive episode","Depression","Depression"
"Eu321","[X]Moderate depressive episode","Depression","Depression"
"Eu322","[X] Severe depressive episode without psychotic symptoms: (& [single episode agitated depression] or [single episode major depression] or [single episode vital depression])","Depression","Depression"
"Eu32y","[X] Depression: [other episodes] or [atypical] or [single episode masked NOS]","Depression","Depression"
"Eu32z","[X] (Depression: [episode, unspecified] or [NOS (& reactive)] or [depressive disorder NOS]","Depression","Depression"
"Eu33.","[X]Recurrent depressive disorder (& [episodes of depressive reaction] or [episodes of psychogenic depression] or [episodes of reactive depression] or [seasonal depressive disorder])","Depression","Depression"
"Eu330","[X]Recurrent depressive disorder, current episode mild","Depression","Depression"
"Eu331","[X]Recurrent depressive disorder, current episode moderate","Depression","Depression"
"Eu334","[X]Recurrent depressive disorder, currently in remission","Depression","Depression"
"Eu33y","[X]Other recurrent depressive disorders","Depression","Depression"
"Eu33z","[X] Depression recurrent: [unspecified] or [monopolar NOS]","Depression","Depression"
"Eu34.","[X]Persistent mood affective disorders","Depression","Depression"
"Eu34z","[X]Persistent mood affective disorder, unspecified","Depression","Depression"
"Eu3y.","[X]Other mood affective disorders","Depression","Depression"
"Eu412","[X]Mixed anxiety and depressive disorder (& mild anxiety depression)","Depression","Depression"
"X00Sb","Mixed anxiety and depressive disorder","Depression","Depression"
"X00SO","Depressive disorder","Depression","Depression"
"X00SQ","Agitated depression","Depression","Depression"
"X00SR","Endogenous depression","Depression","Depression"
"X00SS","Endogenous depression first episode","Depression","Depression"
"X00SU","Masked depression","Depression","Depression"
"X40Dl","Mild postnatal depression","Depression","Depression"
"X40Dm","Severe postnatal depression","Depression","Depression"
"X761L","Seasonal affective disorder","Depression","Depression"
"Xa0wV","Recurrent brief depressive disorder","Depression","Depression"
"XaB9J","Depression NOS","Depression","Depression"
"XaCHs","[X] Single episode major depression without psychotic symptoms","Depression","Depression"
"XaCIs","Mild depression","Depression","Depression"
"XaCIt","Moderate depression","Depression","Depression"
"XaCIu","Severe depression","Depression","Depression"
"XaLG0","Depression resolved","Depression","Depression"
"XE1aY","Depression: [reactive (neurotic)] or [postnatal]","Depression","Depression"
"XE1Y0","Single major depressive episode","Depression","Depression"
"XE1Y1","Recurrent major depressive episodes","Depression","Depression"
"XE1YC","Reactive depression","Depression","Depression"
"XE1Za","[X]Other depressive episodes","Depression","Depression"
"XE1Zb","[X]Depressive episode, unspecified","Depression","Depression"
"XE1Zc","[X]Recurrent depressive disorder","Depression","Depression"
"XE1Zd","[X]Recurrent depressive disorder, current episode severe without psychotic symptoms","Depression","Depression"
"XE1Zf","[X]Recurrent depressive disorder, unspecified","Depression","Depression"
"XE1Zg","[X]Other single mood affective disorders","Depression","Depression"
"XE1Zh","[X]Other recurrent mood affective disorders","Depression","Depression"
"XE1Zi","[X]Unspecified mood affective disorder","Depression","Depression"
"XE1ZY","[X]Severe depressive episode without psychotic symptoms","Depression","Depression"
"XM1GC","Endogenous depression - recurrent","Depression","Depression"
"XSEGJ","Major depressive disorder","Depression","Depression"
"XSGok","Mild major depression","Depression","Depression"
"XSGol","Moderate major depression","Depression","Depression"
"XSGom","Severe major depression without psychotic features","Depression","Depression"
"ZV111","[V]Personal history of affective disorder","Depression","Depression"
