"Code","Description","Condition","Sub-condition"
"7A6G5","Ligation of penile veins for impotence","Erectile dysfunction","Erectile dysfunction"
"7C25B","Penile injection to produce erection","Erectile dysfunction","Erectile dysfunction"
"E2273","Erectile dysfunction","Erectile dysfunction","Erectile dysfunction"
"K27y1","Impotence of organic origin","Erectile dysfunction","Erectile dysfunction"
"X400F","Drug-induced impotence","Erectile dysfunction","Erectile dysfunction"
"X400G","Endocrine impotence","Erectile dysfunction","Erectile dysfunction"
"X400H","Neuropathic impotence","Erectile dysfunction","Erectile dysfunction"
"X400I","Psychogenic impotence","Erectile dysfunction","Erectile dysfunction"
"X71FJ","Advice on technique for impotence","Erectile dysfunction","Erectile dysfunction"
"X74UM","Provision of penile vacuum constriction device","Erectile dysfunction","Erectile dysfunction"
"X76ME","Cannot get an erection","Erectile dysfunction","Erectile dysfunction"
"X76MO","Cannot sustain an erection","Erectile dysfunction","Erectile dysfunction"
"X77lU","Physiological tests for impotence","Erectile dysfunction","Erectile dysfunction"
"Xa044","Problem getting an erection","Erectile dysfunction","Erectile dysfunction"
"Xa24H","Arteriopathic impotence","Erectile dysfunction","Erectile dysfunction"
"Xaa8r","Erectile dysfunction due to diabetes mellitus","Erectile dysfunction","Erectile dysfunction"
"XaL47","Referral to erectile dysfunction clinic","Erectile dysfunction","Erectile dysfunction"
"XaMBP","Treatment of erectile dysfunction NEC","Erectile dysfunction","Erectile dysfunction"
"XaXgw","C/O erectile dysfunction","Erectile dysfunction","Erectile dysfunction"
