"Code","Description","Condition","Sub-condition"
"760L.","Antireflux operations (& oesophageal)","Gastro-oesophageal reflux, gastritis and similar",""
"760L0","Transthoracic antireflux fundoplication (& [Belsey] or [Nissen])","Gastro-oesophageal reflux, gastritis and similar",""
"760L2","Transabdominal antireflux fundoplication (& Nissen)","Gastro-oesophageal reflux, gastritis and similar",""
"760L3","Antireflux operation: [gastropexy (& Hill)] or [gastroplasty]","Gastro-oesophageal reflux, gastritis and similar",""
"760L6","Oesophagogastric fundoplasty (& [Thal] or [Nissen])","Gastro-oesophageal reflux, gastritis and similar",""
"760Ly","Other specified antireflux operation","Gastro-oesophageal reflux, gastritis and similar",""
"760Lz","Antireflux operation NOS","Gastro-oesophageal reflux, gastritis and similar",""
"760M.","Revision of antireflux operations","Gastro-oesophageal reflux, gastritis and similar",""
"760M0","Revision of fundoplication of stomach","Gastro-oesophageal reflux, gastritis and similar",""
"J101.","Oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"J1011","Acid reflux &/or oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"J1015","Phlegmonous oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"J1016","(Ulcerative oesophagitis) or (Barrett's oesophagus)","Gastro-oesophageal reflux, gastritis and similar",""
"J101y","Other specified oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"J101z","Oesophagitis NOS","Gastro-oesophageal reflux, gastritis and similar",""
"J102.","Ulcer of oesophagus","Gastro-oesophageal reflux, gastritis and similar",""
"J1020","Gastro-oesophageal reflux disease with ulceration","Gastro-oesophageal reflux, gastritis and similar",""
"J1025","Barrett's ulcer of oesophagus","Gastro-oesophageal reflux, gastritis and similar",""
"J102z","Ulcer of oesophagus NOS","Gastro-oesophageal reflux, gastritis and similar",""
"J10y3","Oesophageal erosions","Gastro-oesophageal reflux, gastritis and similar",""
"J10y4","Oesophageal reflux (& [without mention of oesophagitis])","Gastro-oesophageal reflux, gastritis and similar",""
"J15..","Gastritis and duodenitis","Gastro-oesophageal reflux, gastritis and similar",""
"J150.","Acute gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"J151.","Chronic gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"J1510","Chronic atrophic gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"J1511","Chronic inflammatory gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"J1512","Chronic superficial gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"J151z","Chronic gastritis NOS","Gastro-oesophageal reflux, gastritis and similar",""
"J153.","Alcoholic gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"J154.","Other specified gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"J1540","Eosinophilic gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"J154z","Other specified gastritis NOS","Gastro-oesophageal reflux, gastritis and similar",""
"J155.","Gastritis unspecified","Gastro-oesophageal reflux, gastritis and similar",""
"J156.","Gastroduodenitis unspecified","Gastro-oesophageal reflux, gastritis and similar",""
"J157.","Duodenitis","Gastro-oesophageal reflux, gastritis and similar",""
"J15z.","Gastritis and duodenitis NOS","Gastro-oesophageal reflux, gastritis and similar",""
"J4z0.","Non-infective gastritis NOS","Gastro-oesophageal reflux, gastritis and similar",""
"Jyu12","[X]Other acute gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"Jyu13","[X]Other gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"Ua1kQ","Gastric reflux","Gastro-oesophageal reflux, gastritis and similar",""
"X20UN","Total fundoplication","Gastro-oesophageal reflux, gastritis and similar",""
"X20UO","Total fundoplication using abdominal approach","Gastro-oesophageal reflux, gastritis and similar",""
"X20UP","Partial fundoplication","Gastro-oesophageal reflux, gastritis and similar",""
"X20UW","Collis-Nissen procedure","Gastro-oesophageal reflux, gastritis and similar",""
"X3003","Gastro-oesophageal reflux disease","Gastro-oesophageal reflux, gastritis and similar",""
"X3005","Peptic stricture of oesophagus","Gastro-oesophageal reflux, gastritis and similar",""
"X3007","Barrett's oesophagus with oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"X301L","Gastric erosion","Gastro-oesophageal reflux, gastritis and similar",""
"X301M","Multiple gastric erosions","Gastro-oesophageal reflux, gastritis and similar",""
"X301O","Acute haemorrhagic gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"X301R","Helicobacter gastritis","Gastro-oesophageal reflux, gastritis and similar",""
"X302G","Duodenal erosion","Gastro-oesophageal reflux, gastritis and similar",""
"X302H","Haemorrhagic duodenitis","Gastro-oesophageal reflux, gastritis and similar",""
"Xa1q7","Peptic oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"Xa7nW","Gastro-oesophageal erosion","Gastro-oesophageal reflux, gastritis and similar",""
"Xa7Ta","Moderate gastric reflux","Gastro-oesophageal reflux, gastritis and similar",""
"Xa7Tb","Minimal gastric reflux","Gastro-oesophageal reflux, gastritis and similar",""
"Xa7TZ","Excessive gastric reflux","Gastro-oesophageal reflux, gastritis and similar",""
"Xa84z","Fundoplication","Gastro-oesophageal reflux, gastritis and similar",""
"Xa9Bz","Barrett's oesophagus","Gastro-oesophageal reflux, gastritis and similar",""
"Xa9C0","Non-reflux ulcer of oesophagus","Gastro-oesophageal reflux, gastritis and similar",""
"XaB1x","Bleeding gastric erosion","Gastro-oesophageal reflux, gastritis and similar",""
"XaB5h","Haemorrhagic oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"XaEY7","Laparoscopic Nissen fundoplication using abdominal approach","Gastro-oesophageal reflux, gastritis and similar",""
"XaEYg","Endoscopic Nissen fundoplication using thoracic approach","Gastro-oesophageal reflux, gastritis and similar",""
"XaK99","Laryngopharyngeal reflux","Gastro-oesophageal reflux, gastritis and similar",""
"XaLCS","Reflux cough","Gastro-oesophageal reflux, gastritis and similar",""
"XE0aL","Gastro-oesophageal reflux disease with oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"XE0aO","Gastro-oesophageal reflux disease without oesophagitis","Gastro-oesophageal reflux, gastritis and similar",""
"XE0bv","Oesophagitis (& [reflux]) or oesophageal reflux","Gastro-oesophageal reflux, gastritis and similar",""
"XE0Ca","Antireflux fundoplication using abdominal approach","Gastro-oesophageal reflux, gastritis and similar",""
