"Code","Description","Condition","Sub-condition"
"14A6.","H/O: heart failure","Heart failure","Heart failure"
"G21z1","Hypertensive heart disease NOS with congestive cardiac failure","Heart failure","Heart failure"
"G400.","Acute cor pulmonale","Heart failure","Heart failure"
"G58..","Heart failure","Heart failure","Heart failure"
"G580.","Heart failure: [right] or [congestive]","Heart failure","Heart failure"
"G5800","Acute congestive heart failure","Heart failure","Heart failure"
"G5801","Chronic congestive heart failure","Heart failure","Heart failure"
"G5802","Decompensated cardiac failure","Heart failure","Heart failure"
"G5803","Compensated cardiac failure","Heart failure","Heart failure"
"G581.","(Left ventricular: [failure] or [impaired function]) or (cardiac asthma) or (acute pulmonary oedema)","Heart failure","Heart failure"
"G5810","Acute left ventricular failure","Heart failure","Heart failure"
"G582.","Acute heart failure","Heart failure","Heart failure"
"G5y4z","Post cardiac operation heart failure NOS","Heart failure","Heart failure"
"H541z","Pulmonary oedema NOS","Heart failure","Heart failure"
"H584.","Acute pulmonary oedema unspecified","Heart failure","Heart failure"
"H584z","Acute pulmonary oedema NOS","Heart failure","Heart failure"
"Q48y1","Congenital cardiac failure","Heart failure","Heart failure"
"X102X","Acute pulmonary oedema","Heart failure","Heart failure"
"X102Y","Acute cardiac pulmonary oedema","Heart failure","Heart failure"
"X202k","Heart failure as a complication of care","Heart failure","Heart failure"
"X202l","Right ventricular failure","Heart failure","Heart failure"
"X203E","Chronic cor pulmonale","Heart failure","Heart failure"
"Xaacj","Left ventricular cardiac dysfunction","Heart failure","Heart failure"
"XaaH6","Referral to rapid access heart failure clinic","Heart failure","Heart failure"
"Xaapw","Right ventricular systolic dysfunction","Heart failure","Heart failure"
"XabM9","On optimal heart failure therapy","Heart failure","Heart failure"
"XaBwi","H/O: Heart failure in last year","Heart failure","Heart failure"
"XaIIq","Left ventricular systolic dysfunction","Heart failure","Heart failure"
"XaIIU","Congestive heart failure monitoring","Heart failure","Heart failure"
"XaIpn","Heart failure confirmed","Heart failure","Heart failure"
"XaIQM","Heart failure follow-up","Heart failure","Heart failure"
"XaIQN","Heart failure annual review","Heart failure","Heart failure"
"XaItG","Left ventricular diastolic dysfunction","Heart failure","Heart failure"
"XaJ4N","Exception reporting: LVD quality indicators","Heart failure","Heart failure"
"XaJ4Y","Excepted from LVD quality indicators: Patient unsuitable","Heart failure","Heart failure"
"XaJ4Z","Excepted from LVD quality indicators: Informed dissent","Heart failure","Heart failure"
"XaJ98","Echocardiogram shows left ventricular systolic dysfunction","Heart failure","Heart failure"
"XaJ99","Echocardiogram shows left ventricular diastolic dysfunction","Heart failure","Heart failure"
"XaJ9G","New York Heart Association classification - class I","Heart failure","Heart failure"
"XaJ9H","New York Heart Association classification - class II","Heart failure","Heart failure"
"XaJ9I","New York Heart Association classification - class III","Heart failure","Heart failure"
"XaJ9J","New York Heart Association classification - class IV","Heart failure","Heart failure"
"XaK6W","Left ventricular dysfunction monitoring administration","Heart failure","Heart failure"
"XaK6Y","Left ventricular dysfunction monitoring first letter","Heart failure","Heart failure"
"XaKNa","Seen by community heart failure nurse","Heart failure","Heart failure"
"XaLCj","Referred by heart failure nurse specialist","Heart failure","Heart failure"
"XaLMx","Referral to heart failure exercise programme","Heart failure","Heart failure"
"XaLN6","Heart failure monitoring administration","Heart failure","Heart failure"
"XaLN7","Heart failure review completed","Heart failure","Heart failure"
"XaLNA","Heart failure care plan discussed with patient","Heart failure","Heart failure"
"XaLon","Heart failure 6 month review","Heart failure","Heart failure"
"XaMFr","Heart failure monitoring telephone invite","Heart failure","Heart failure"
"XaMGo","Heart failure monitoring verbal invite","Heart failure","Heart failure"
"XaMGs","Heart failure monitoring first letter","Heart failure","Heart failure"
"XaMGt","Heart failure monitoring second letter","Heart failure","Heart failure"
"XaMGu","Heart failure monitoring third letter","Heart failure","Heart failure"
"XaMJ9","Exception reporting: heart failure quality indicators","Heart failure","Heart failure"
"XaMJA","Excepted from heart failure quality indicators: Patient unsuitable","Heart failure","Heart failure"
"XaMJB","Excepted from heart failure quality indicators: Informed dissent","Heart failure","Heart failure"
"XaO5n","Congestive heart failure due to valvular disease","Heart failure","Heart failure"
"XaR8o","Heart failure resolved","Heart failure","Heart failure"
"XaWyi","Heart failure with normal ejection fraction","Heart failure","Heart failure"
"XaXgq","Referral to heart failure exercise programme declined","Heart failure","Heart failure"
"XaXkR","Has heart failure management plan","Heart failure","Heart failure"
"XaYbC","Heart failure self-management plan agreed","Heart failure","Heart failure"
"XaYYr","Right ventricular diastolic dysfunction","Heart failure","Heart failure"
"XaYYs","Diastolic dysfunction","Heart failure","Heart failure"
"XaZih","Heart failure clinical pathway","Heart failure","Heart failure"
"XE0Uz","Congestive cardiomyopathy","Heart failure","Heart failure"
"XE0V8","Biventricular failure","Heart failure","Heart failure"
"XE0V9","Heart failure NOS","Heart failure","Heart failure"
"XE0Wo","(Congestive cardiac failure) or (dropsy) or (cardiac insufficiency) or (right heart failure) or (right ventricular failure)","Heart failure","Heart failure"
"XE2QG","Left ventricular failure","Heart failure","Heart failure"
"XM1Qn","Impaired left ventricular function","Heart failure","Heart failure"
