"Code","Description","Condition","Sub-condition"
"XE0RX","Acquired immune deficiency syndrome","HIV","HIV"
"XaILa","HIV 1 nucleic acid detection","HIV","HIV"
"XaFuO","HIV p24 antigen level","HIV","HIV"
"XaFuM","Human immunodeficiency virus antibody level","HIV","HIV"
"XaFuL","HIV viral load","HIV","HIV"
"XaEQb","HIV1 antibody level","HIV","HIV"
"XaEME","HIV2 antibody level","HIV","HIV"
"Xa0ye","Human immunodeficiency virus","HIV","HIV"
"X80bg","Human immunodeficiency virus antibody","HIV","HIV"
"X70M6","Human immunodeficiency virus infection","HIV","HIV"
"X001B","Human immunodefiency virus encephalitis","HIV","HIV"
"AyuCC","[X]HIV disease resulting in other specified conditions","HIV","HIV"
"AyuC.","[X]Human immunodeficiency virus disease","HIV","HIV"
"A7895","HIV disease resulting in Kaposi's sarcoma","HIV","HIV"
"A7893","HIV disease resulting in Pneumocystis carinii pneumonia","HIV","HIV"
"A7892","HIV disease resulting in candidiasis","HIV","HIV"
"A7881","Asymptomatic human immunodeficiency virus infection","HIV","HIV"
"A7880","Acute human immunodeficiency virus seroconversion illness","HIV","HIV"
"A788.","(AIDS) or (HIV infection)","HIV","HIV"
"65QA.","AIDS carrier","HIV","HIV"
"43C3.","HIV positive","HIV","HIV"
