"Code","Description","Condition","Sub-condition"
"14G2.","H/O: osteoarthritis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N05..","Osteoarthritis (& [allied disorders])","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N050.","Generalised osteoarthritis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0500","Generalised osteoarthritis of unspecified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0501","(Heberdens' nodes) or (Bouchards' nodes) or (generalised osteoarthritis of the hand)","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0502","Generalised osteoarthritis of multiple sites","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0503","Bouchard's nodes with arthropathy","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0506","Erosive osteoarthrosis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0507","Heberden's nodes with arthropathy","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N050z","Generalised osteoarthritis NOS","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051.","Localised, primary osteoarthritis","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0510","Localised, primary osteoarthritis of unspecified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0511","Localised, primary osteoarthritis of the shoulder region","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0512","Localised, primary osteoarthritis of the upper arm","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0513","Localised, primary osteoarthritis of the forearm","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0514","Localised, primary osteoarthritis of the hand","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0515","Localised, primary osteoarthritis of the pelvic region and thigh","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0516","Localised, primary osteoarthritis of the lower leg","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0517","Localised, primary osteoarthritis of the ankle and foot","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0518","Localised, primary osteoarthritis of other specified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0519","Primary coxarthrosis, bilateral","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051B","Primary gonarthrosis, bilateral","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051C","Primary arthrosis of first carpometacarpal joints, bilateral","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N051z","Localised, primary osteoarthritis NOS","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N053.","Localised osteoarthritis, unspecified","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
"N0530","Localised osteoarthritis, unspecified, of unspecified site","Osteoarthritis (excl spine)","Osteoarthritis (excl spine)"
