"Code","Description","Condition","Sub-condition"
"XM1Qu","Claudication","Peripheral arterial disease","Peripheral arterial disease"
"XM1Is","Reconstruction of femoral artery","Peripheral arterial disease","Peripheral arterial disease"
"XE12K","Diabetes: [peripheral circulatory disease] or [gangrene]","Peripheral arterial disease","Peripheral arterial disease"
"XE10I","Diabetes mellitus with peripheral circulatory disorder","Peripheral arterial disease","Peripheral arterial disease"
"XE0XC","Peripheral vascular disease (& [NOS])","Peripheral arterial disease","Peripheral arterial disease"
"XE0VR","Intermittent claudication","Peripheral arterial disease","Peripheral arterial disease"
"XE0VP","Other peripheral vascular disease","Peripheral arterial disease","Peripheral arterial disease"
"XE0FY","Other bypass of femoral artery or popliteal artery","Peripheral arterial disease","Peripheral arterial disease"
"XaMNe","Percutaneous transluminal insertion of stent into femoral artery","Peripheral arterial disease","Peripheral arterial disease"
"XaLhe","Percutaneous transluminal placement of peripheral stent in artery","Peripheral arterial disease","Peripheral arterial disease"
"XaFn7","Type II diabetes mellitus with peripheral angiopathy","Peripheral arterial disease","Peripheral arterial disease"
"XaE3G","Critical ischaemia of foot","Peripheral arterial disease","Peripheral arterial disease"
"XaDmi","Percutaneous transluminal insertion of iliac artery stent","Peripheral arterial disease","Peripheral arterial disease"
"XaDmh","Open insertion of iliac artery stent","Peripheral arterial disease","Peripheral arterial disease"
"XaBFI","Leriche's syndrome","Peripheral arterial disease","Peripheral arterial disease"
"XaB5X","Ischaemic toe","Peripheral arterial disease","Peripheral arterial disease"
"Xa84U","Ischaemic foot","Peripheral arterial disease","Peripheral arterial disease"
"Xa7lT","Ischaemia of feet","Peripheral arterial disease","Peripheral arterial disease"
"Xa0lV","Peripheral vascular disease","Peripheral arterial disease","Peripheral arterial disease"
"X50Bk","Neuroischaemic foot ulcer","Peripheral arterial disease","Peripheral arterial disease"
"X50Bg","Ischaemic foot ulcer","Peripheral arterial disease","Peripheral arterial disease"
"X50Bf","Ischaemic leg ulcer","Peripheral arterial disease","Peripheral arterial disease"
"X50Be","Mixed arteriovenous leg ulcer","Peripheral arterial disease","Peripheral arterial disease"
"X203U","Critical lower limb ischaemia","Peripheral arterial disease","Peripheral arterial disease"
"X203T","Lower limb ischaemia","Peripheral arterial disease","Peripheral arterial disease"
"X203Q","Peripheral ischaemia","Peripheral arterial disease","Peripheral arterial disease"
"X203L","Aortoiliac atherosclerosis","Peripheral arterial disease","Peripheral arterial disease"
"X016o","Insertion of external iliac artery stent","Peripheral arterial disease","Peripheral arterial disease"
"X016n","Insertion common iliac artery stent","Peripheral arterial disease","Peripheral arterial disease"
"X015Z","Other emergency bypass of popliteal artery","Peripheral arterial disease","Peripheral arterial disease"
"X015u","Aortic bifurcation bypass graft","Peripheral arterial disease","Peripheral arterial disease"
"X015T","Other bypass of femoral artery","Peripheral arterial disease","Peripheral arterial disease"
"X015S","Other bypass of popliteal artery","Peripheral arterial disease","Peripheral arterial disease"
"X015R","Other bypass of superficial femoral artery","Peripheral arterial disease","Peripheral arterial disease"
"R0550","[D]Failure of peripheral circulation","Peripheral arterial disease","Peripheral arterial disease"
"M2712","Mixed diabetic ulcer - foot","Peripheral arterial disease","Peripheral arterial disease"
"M2710","Ischaemic ulcer diabetic foot","Peripheral arterial disease","Peripheral arterial disease"
"G76A.","Arterial insufficiency","Peripheral arterial disease","Peripheral arterial disease"
"G73z0","Claudication (& [intermittent])","Peripheral arterial disease","Peripheral arterial disease"
"G73z.","Peripheral vascular disease NOS","Peripheral arterial disease","Peripheral arterial disease"
"G73yz","Other specified peripheral vascular disease NOS","Peripheral arterial disease","Peripheral arterial disease"
"G73y0","Diabetic peripheral angiopathy","Peripheral arterial disease","Peripheral arterial disease"
"G73y.","Other specified peripheral vascular disease","Peripheral arterial disease","Peripheral arterial disease"
"G7310","Thromboangiitis obliterans","Peripheral arterial disease","Peripheral arterial disease"
"G73..","(Peripheral vascular disease (& [ischaemic] or [other])) or (ischaemia of legs) or (peripheral ischaemia)","Peripheral arterial disease","Peripheral arterial disease"
"G702.","Extremity artery atheroma","Peripheral arterial disease","Peripheral arterial disease"
"C1074","NIDDM with peripheral circulatory disorder","Peripheral arterial disease","Peripheral arterial disease"
"7A4B1","Percutaneous angioplasty of popliteal artery","Peripheral arterial disease","Peripheral arterial disease"
"7A4B0","Percutaneous transluminal angioplasty of femoral artery","Peripheral arterial disease","Peripheral arterial disease"
"7A4A1","Repair of popliteal artery NEC","Peripheral arterial disease","Peripheral arterial disease"
"7A49z","Reconstruction of femoral or popliteal artery NOS","Peripheral arterial disease","Peripheral arterial disease"
"7A498","Reconstruction of femoral artery with vein graft","Peripheral arterial disease","Peripheral arterial disease"
"7A495","Profundoplasty of popliteal artery and patch repair of popliteal artery","Peripheral arterial disease","Peripheral arterial disease"
