"Code","Description","Condition","Sub-condition"
"1464.","H/O: schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E03y3","Unspecified puerperal psychosis","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1...","Non-organic psychoses","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E10..","Schizophrenic disorders","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E100.","Simple schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1000","Unspecified schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1002","Chronic schizophrenic","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1003","Acute exacerbation of subchronic schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1004","Acute exacerbation of chronic schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1005","Schizophrenia in remission","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E101.","Hebephrenic schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1014","Acute exacerbation of chronic hebephrenic schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E102.","Catatonic schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1025","Catatonic schizophrenia in remission","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E103.","Paranoid schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1030","Unspecified paranoid schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1031","Subchronic paranoid schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1032","Chronic paranoid schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1034","Acute exacerbation of chronic paranoid schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1035","Paranoid schizophrenia in remission","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E103z","Paranoid schizophrenia NOS","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E104.","Acute schizophrenic episode (& [oneirophrenia])","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1055","Latent schizophrenia in remission","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E107.","Schizoaffective schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
"E1073","Acute exacerbation of subchronic schizoaffective schizophrenia","Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders"
