"Code","Description","Condition","Sub-condition"
"14A7.","H/O: CVA &/or stroke","Stroke","Stroke NOS"
"662M.","Stroke monitoring","Stroke","Stroke NOS"
"Fyu56","[X]Other lacunar syndromes","Stroke","Stroke NOS"
"Fyu57","[X]Other vascular syndromes of the brain in cerebrovascular diseases","Stroke","Stroke NOS"
"G61..","Intracerebral haemorrhage (& [cerebrovascular accident due to])","Stroke","Intracerebral haemorrhage"
"G610.","Cortical haemorrhage","Stroke","Intracerebral haemorrhage"
"G611.","Internal capsule haemorrhage","Stroke","Intracerebral haemorrhage"
"G612.","Basal ganglia haemorrhage","Stroke","Intracerebral haemorrhage"
"G613.","Cerebellar haemorrhage","Stroke","Intracerebral haemorrhage"
"G614.","Pontine haemorrhage","Stroke","Intracerebral haemorrhage"
"G617.","Intracerebral haemorrhage, intraventricular","Stroke","Intracerebral haemorrhage"
"G61z.","Intracerebral haemorrhage NOS","Stroke","Intracerebral haemorrhage"
"G62..","Other and unspecified intracranial haemorrhage","Stroke","Intracerebral haemorrhage"
"G62z.","Intracranial haemorrhage NOS","Stroke","Intracerebral haemorrhage"
"G63..","Precerebral: [arterial occlusion] or [arterial stenosis] or [infarction]","Stroke","Ischaemic stroke"
"G63y0","Cerebral infarct due to thrombosis of precerebral arteries","Stroke","Ischaemic stroke"
"G63y1","Cerebral infarction due to embolism of precerebral arteries","Stroke","Ischaemic stroke"
"G64..","Cerebral arterial occlusion(&[cerebrovascular accident due to] or [stroke due to]) or (cerebral infarction)","Stroke","Ischaemic stroke"
"G640.","Cerebral thrombosis","Stroke","Ischaemic stroke"
"G6400","Cerebral infarction due to thrombosis of cerebral arteries","Stroke","Ischaemic stroke"
"G641.","Cerebral embolus","Stroke","Ischaemic stroke"
"G6410","Cerebral infarction due to embolism of cerebral arteries","Stroke","Ischaemic stroke"
"G64z.","Infarction (& [cerebellar] or [cerebral NOS] or [brainstem NOS])","Stroke","Ischaemic stroke"
"G650.","Basilar artery syndrome","Stroke","Stroke NOS"
"G651.","Vertebral artery syndrome","Stroke","Stroke NOS"
"G6510","Vertebrobasilar artery syndrome","Stroke","Stroke NOS"
"G653.","Carotid artery syndrome hemispheric","Stroke","Stroke NOS"
"G66..","CVA - cerebrovascular accident (& unspecified [& stroke])","Stroke","Stroke NOS"
"G660.","Middle cerebral artery syndrome","Stroke","Stroke NOS"
"G662.","Posterior cerebral artery syndrome","Stroke","Stroke NOS"
"G663.","Brainstem stroke syndrome","Stroke","Stroke NOS"
"G664.","Cerebellar stroke syndrome","Stroke","Stroke NOS"
"G667.","Left sided cerebral hemisphere cerebrovascular accident","Stroke","Stroke NOS"
"G668.","Right sided cerebral hemisphere cerebrovascular accident","Stroke","Stroke NOS"
"G6760","Cerebral infarction due to cerebral venous thrombosis, non-pyogenic","Stroke","Ischaemic stroke"
"G6770","Occlusion and stenosis of middle cerebral artery","Stroke","Ischaemic stroke"
"G6771","Occlusion and stenosis of anterior cerebral artery","Stroke","Ischaemic stroke"
"G6772","Occlusion and stenosis of posterior cerebral artery","Stroke","Ischaemic stroke"
"G683.","Sequelae of cerebral infarction","Stroke","Ischaemic stroke"
"Gyu62","[X]Other intracerebral haemorrhage","Stroke","Intracerebral haemorrhage"
"Gyu63","[X]Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","Stroke","Ischaemic stroke"
"Gyu64","[X]Other cerebral infarction","Stroke","Ischaemic stroke"
"Gyu6C","[X]Sequelae of stroke, not specified as haemorrhage or infarction","Stroke","Stroke NOS"
"Gyu6F","[X]Intracerebral haemorrhage in hemisphere, unspecified","Stroke","Intracerebral haemorrhage"
"Gyu6G","[X]Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","Stroke","Ischaemic stroke"
"X00D1","Cerebrovascular accident","Stroke","Stroke NOS"
"X00D3","CVA - cerebrovascular accident due to cerebral artery occlusion","Stroke","Ischaemic stroke"
"X00D5","Anterior cerebral circulation infarction","Stroke","Ischaemic stroke"
"X00D6","Total anterior cerebral circulation infarction","Stroke","Ischaemic stroke"
"X00D7","Partial anterior cerebral circulation infarction","Stroke","Ischaemic stroke"
"X00D8","Posterior cerebral circulation infarction","Stroke","Ischaemic stroke"
"X00D9","Brainstem infarction NOS","Stroke","Ischaemic stroke"
"X00DA","Lacunar infarction","Stroke","Ischaemic stroke"
"X00DB","Pure motor lacunar infarction","Stroke","Ischaemic stroke"
"X00DC","Pure sensory lacunar infarction","Stroke","Ischaemic stroke"
"X00DD","Pure sensorimotor lacunar infarction","Stroke","Ischaemic stroke"
"X00DE","Lacunar ataxic hemiparesis","Stroke","Ischaemic stroke"
"X00DF","Dysarthria-clumsy hand syndrome","Stroke","Ischaemic stroke"
"X00DG","Multi-infarct state","Stroke","Ischaemic stroke"
"X00DI","Haemorrhagic cerebral infarction","Stroke","Ischaemic stroke"
