"Code","Description","Condition","Sub-condition"
"14AB.","H/O: TIA","Transient ischaemic attack","Transient ischaemic attack"
"F4236","Amaurosis fugax","Transient ischaemic attack","Transient ischaemic attack"
"Fyu55","[X]Other transient cerebral ischaemic attacks and related syndromes","Transient ischaemic attack","Transient ischaemic attack"
"G65y.","Other transient cerebral ischaemia","Transient ischaemic attack","Transient ischaemic attack"
"G65z.","Transient cerebral ischaemia NOS","Transient ischaemic attack","Transient ischaemic attack"
"X00DU","Carotid territory transient ischaemic attack","Transient ischaemic attack","Transient ischaemic attack"
"X00DV","Vertebrobasilar territory transient ischaemic attack","Transient ischaemic attack","Transient ischaemic attack"
"X00E2","Transient global amnesia","Transient ischaemic attack","Transient ischaemic attack"
"XaEGK","Transient ischaemic attacks","Transient ischaemic attack","Transient ischaemic attack"
"XaQve","Transient ischaemic attack clinical management plan","Transient ischaemic attack","Transient ischaemic attack"
"XaX16","[V]Personal history of transient ischaemic attack","Transient ischaemic attack","Transient ischaemic attack"
"XaZIY","H/O amaurosis fugax","Transient ischaemic attack","Transient ischaemic attack"
"XE0VK","Transient ischaemic attack","Transient ischaemic attack","Transient ischaemic attack"
