"Code","Description","Condition","Sub-condition"
"1365.","Heavy drinker - 7-9u/day","Alcohol Problems","Alcohol Problems"
"1366.","Very heavy drinker - greater than 9 units/day","Alcohol Problems","Alcohol Problems"
"136D.","Ex-heavy drinker - (7-9u/day)","Alcohol Problems","Alcohol Problems"
"1462.","H/O: alcoholism","Alcohol Problems","Alcohol Problems"
"8H35.","Admitted to alcohol detoxification centre","Alcohol Problems","Alcohol Problems"
"E01..","Alcoholic psychoses","Alcohol Problems","Alcohol Problems"
"E010.","Delirium tremens","Alcohol Problems","Alcohol Problems"
"E011.","Korsakov psychosis","Alcohol Problems","Alcohol Problems"
"E0111","Korsakov's alcoholic psychosis with peripheral neuritis","Alcohol Problems","Alcohol Problems"
"E0112","Wernicke-Korsakov syndrome","Alcohol Problems","Alcohol Problems"
"E011z","Alcohol amnestic syndrome NOS","Alcohol Problems","Alcohol Problems"
"E013.","Alcohol withdrawal hallucinosis","Alcohol Problems","Alcohol Problems"
"E014.","Pathological alcohol intoxication","Alcohol Problems","Alcohol Problems"
"E015.","Alcoholic paranoia","Alcohol Problems","Alcohol Problems"
"E01y.","Other alcoholic psychosis","Alcohol Problems","Alcohol Problems"
"E01y0","Alcohol withdrawal syndrome","Alcohol Problems","Alcohol Problems"
"E01z.","Alcoholic psychosis NOS","Alcohol Problems","Alcohol Problems"
"E23..","(Alcohol dependence syndrome [including alcoholism]) or (alcohol problem drinking)","Alcohol Problems","Alcohol Problems"
"E230.","Acute alcoholic intoxication in alcoholism","Alcohol Problems","Alcohol Problems"
"E2300","Acute alcoholic intoxication, unspecified, in alcoholism","Alcohol Problems","Alcohol Problems"
"E2301","Continuous acute alcoholic intoxication in alcoholism","Alcohol Problems","Alcohol Problems"
"E230z","Acute alcoholic intoxication in alcoholism NOS","Alcohol Problems","Alcohol Problems"
"E231.","Chronic alcoholism (& [dipsomania])","Alcohol Problems","Alcohol Problems"
"E2310","Unspecified chronic alcoholism","Alcohol Problems","Alcohol Problems"
"E2311","Continuous chronic alcoholism","Alcohol Problems","Alcohol Problems"
"E2312","Episodic chronic alcoholism","Alcohol Problems","Alcohol Problems"
"E2313","Chronic alcoholism in remission","Alcohol Problems","Alcohol Problems"
"E231z","Chronic alcoholism NOS","Alcohol Problems","Alcohol Problems"
"E23z.","Alcohol dependence syndrome NOS","Alcohol Problems","Alcohol Problems"
"E2500","Nondependent alcohol abuse, unspecified","Alcohol Problems","Alcohol Problems"
"E2501","Nondependent alcohol abuse, continuous","Alcohol Problems","Alcohol Problems"
"E2502","Nondependent alcohol abuse, episodic","Alcohol Problems","Alcohol Problems"
"E2503","Nondependent alcohol abuse in remission","Alcohol Problems","Alcohol Problems"
"E250z","Nondependent alcohol abuse NOS","Alcohol Problems","Alcohol Problems"
"Eu10.","[X]Mental and behavioural disorders due to use of alcohol","Alcohol Problems","Alcohol Problems"
"Eu100","[X]Mental and behavioural disorders due to use of alcohol: acute intoxication","Alcohol Problems","Alcohol Problems"
"Eu101","[X]Mental and behavioural disorders due to use of alcohol: harmful use","Alcohol Problems","Alcohol Problems"
"Eu102","[X] (Mental and behavioural disorders due to use of alcohol: dependence syndrome) or (chronic alcoholism [& (addiction) or (dipsomania)])","Alcohol Problems","Alcohol Problems"
"Eu103","[X]Mental and behavioural disorders due to use of alcohol: withdrawal state","Alcohol Problems","Alcohol Problems"
"Eu104","[X]Mental and behavioural disorders due to use of alcohol: withdrawal state with delirium","Alcohol Problems","Alcohol Problems"
"Eu105","[X] Mental and behavioural disorders due to use of alcohol: psychotic disorder (& [hallucinosis] or [jealousy] or [paranoia] or [psychosis NOS])","Alcohol Problems","Alcohol Problems"
"Eu106","[X]Mental and behavioural disorders due to use of alcohol: amnesic syndrome","Alcohol Problems","Alcohol Problems"
"Eu10y","[X]Mental and behavioural disorders due to use of alcohol: other mental and behavioural disorders","Alcohol Problems","Alcohol Problems"
"Eu10z","[X]Mental and behavioural disorders due to use of alcohol: unspecified mental and behavioural disorder","Alcohol Problems","Alcohol Problems"
"F11x0","Alcoholic encephalopathy","Alcohol Problems","Alcohol Problems"
"F1440","Alcoholic cerebellar degeneration","Alcohol Problems","Alcohol Problems"
"F375.","Alcohol-related polyneuropathy","Alcohol Problems","Alcohol Problems"
"G555.","Alcohol-induced heart muscle disease","Alcohol Problems","Alcohol Problems"
"J153.","Alcoholic gastritis","Alcohol Problems","Alcohol Problems"
"J610.","Alcoholic fatty liver","Alcohol Problems","Alcohol Problems"
"J611.","Acute alcoholic hepatitis","Alcohol Problems","Alcohol Problems"
"J613.","Alcoholic liver damage unspecified","Alcohol Problems","Alcohol Problems"
"Ua1Mm","Alcohol withdrawal regime","Alcohol Problems","Alcohol Problems"
"Ub0lO","Heavy drinker","Alcohol Problems","Alcohol Problems"
"Ub0lP","Very heavy drinker","Alcohol Problems","Alcohol Problems"
"Ub0lR","Problem drinker","Alcohol Problems","Alcohol Problems"
"Ub0lz","Alcoholic binges exceeding sensible amounts","Alcohol Problems","Alcohol Problems"
"Ub0m0","Alcoholic binges exceeding safe amounts","Alcohol Problems","Alcohol Problems"
"X006u","Alcohol-induced epilepsy","Alcohol Problems","Alcohol Problems"
"X00Rk","Alcoholic dementia NOS","Alcohol Problems","Alcohol Problems"
"X306r","Alcoholic hepatitis","Alcohol Problems","Alcohol Problems"
"X3071","Alcoholic liver disease","Alcohol Problems","Alcohol Problems"
"X3072","Alcoholic fibrosis and sclerosis of liver","Alcohol Problems","Alcohol Problems"
"X3073","Alcoholic hepatic failure","Alcohol Problems","Alcohol Problems"
"X308j","Alcohol-induced acute pancreatitis","Alcohol Problems","Alcohol Problems"
"X308v","Alcohol-induced chronic pancreatitis","Alcohol Problems","Alcohol Problems"
"Xa1yZ","Alcohol abuse","Alcohol Problems","Alcohol Problems"
"Xa25J","Alcoholic dementia","Alcohol Problems","Alcohol Problems"
"Xa2lt","Persistent alcohol abuse","Alcohol Problems","Alcohol Problems"
"Xa3dY","Ex-problem drinker","Alcohol Problems","Alcohol Problems"
"Xa7lt","Abstinent alcoholic","Alcohol Problems","Alcohol Problems"
"Xa7nD","Alcohol-induced cerebellar ataxia","Alcohol Problems","Alcohol Problems"
"Xa7On","Alcoholism counselling","Alcohol Problems","Alcohol Problems"
"XaA1V","Ethanol abuse","Alcohol Problems","Alcohol Problems"
"XaamS","In-house alcohol detoxification","Alcohol Problems","Alcohol Problems"
"XaBE3","Chronic alcoholic hepatitis","Alcohol Problems","Alcohol Problems"
"Xabi8","Moderate alcohol dependence","Alcohol Problems","Alcohol Problems"
"Xabi9","Severe alcohol dependence","Alcohol Problems","Alcohol Problems"
"XabN7","Alcohol dependence resolved","Alcohol Problems","Alcohol Problems"
"XaC1d","Oesophageal varices in alcoholic cirrhosis of the liver","Alcohol Problems","Alcohol Problems"
"XaIN4","Under care of community alcohol team","Alcohol Problems","Alcohol Problems"
"XaIPn","Referral to community alcohol team","Alcohol Problems","Alcohol Problems"
"XaJni","Alcohol disorder monitoring","Alcohol Problems","Alcohol Problems"
"XaK9f","Alcohol misuse enhanced services administration","Alcohol Problems","Alcohol Problems"
"XaKAA","Community detoxification registered","Alcohol Problems","Alcohol Problems"
"XaKAJ","Alcohol misuse enhanced service completed","Alcohol Problems","Alcohol Problems"
"XaKV2","Alcohol induced hallucinations","Alcohol Problems","Alcohol Problems"
"XaKvA","Hazardous alcohol use","Alcohol Problems","Alcohol Problems"
"XaKvB","Harmful alcohol use","Alcohol Problems","Alcohol Problems"
"XaLrN","Alcohol abuse monitoring","Alcohol Problems","Alcohol Problems"
"XaLWu","[X]Alcohol withdrawal-induced seizure","Alcohol Problems","Alcohol Problems"
"XaORR","Referral to specialist alcohol treatment service","Alcohol Problems","Alcohol Problems"
"XaPds","Seen by counsellor for alcohol misuse","Alcohol Problems","Alcohol Problems"
"XaPmB","Advised to contact primary care alcohol worker","Alcohol Problems","Alcohol Problems"
"XaPna","Referral to alcohol brief intervention service","Alcohol Problems","Alcohol Problems"
"XaPPv","Brief intervention for excessive alcohol consumption completed","Alcohol Problems","Alcohol Problems"
"XaPPy","Extended intervention for excessive alcohol consumption completed","Alcohol Problems","Alcohol Problems"
"XaPQC","Alcohol related fit","Alcohol Problems","Alcohol Problems"
"XaPty","Brief intervention for excessive alcohol consumption declined","Alcohol Problems","Alcohol Problems"
"XaPwp","Declined referral to specialist alcohol treatment service","Alcohol Problems","Alcohol Problems"
"XaX4S","Extended intervention for excessive alcohol consumption declined","Alcohol Problems","Alcohol Problems"
"XaXkb","Referral to community alcohol team declined","Alcohol Problems","Alcohol Problems"
"XaYWV","Referral to alcohol misuse clinic","Alcohol Problems","Alcohol Problems"
"XE0b4","Alcoholic cirrhosis of liver","Alcohol Problems","Alcohol Problems"
"XE0dF","Alcoholic liver damage NOS","Alcohol Problems","Alcohol Problems"
"XE1aw","Alcohol dependence syndrome (& [dipsomania])","Alcohol Problems","Alcohol Problems"
"XE1YQ","Chronic alcoholism","Alcohol Problems","Alcohol Problems"
"XE1YX","Nondependent alcohol abuse","Alcohol Problems","Alcohol Problems"
"XE1ZE","[X]Mental and behavioural disorders due to use of alcohol: dependence syndrome","Alcohol Problems","Alcohol Problems"
"XE1ZF","[X]Mental and behavioural disorders due to use of alcohol: psychotic disorder","Alcohol Problems","Alcohol Problems"
"XM18Y","Alcoholism detoxication centre","Alcohol Problems","Alcohol Problems"
"XSBcu","Alcohol rehabilitation","Alcohol Problems","Alcohol Problems"
"ZV113","[V]Personal history of alcoholism","Alcohol Problems","Alcohol Problems"
"ZV57A","[V]Alcohol rehabilitation","Alcohol Problems","Alcohol Problems"
"ZV6D6","[V]Alcohol abuse counselling and surveillance","Alcohol Problems","Alcohol Problems"
