"Code","Description","Condition","Sub-condition"
"B7F..","Benign neoplasm of: [central nervous system] or [brain and other parts of nervous system]","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F0.","Benign brain tumour","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F00","Benign neoplasm of brain, supratentorial","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F1.","Benign tumour of cranial nerve","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F10","Vestibular schwannoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F20","Cerebral meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F2z","Benign neoplasm of cerebral meninges NOS","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7F40","Spinal meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7Fy.","Benign neoplasm of other part of nervous system","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7H2.","Benign neoplasm of pituitary gland: [craniopharyngeal duct] or [adenoma]","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7H20","Benign tumour of pituitary gland","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7H21","Craniopharyngioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"B7H3.","Benign tumour of pineal gland","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BB5V.","[M]Pituitary adenomas and carcinomas","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BB5Vz","[M]Pituitary adenoma or carcinoma NOS","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBa0.","[M]Craniopharyngioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBb5.","[M]Choroid plexus papilloma NOS","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBc00","Ganglioneuroma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBc6.","Ganglioglioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBc7.","Neurocytoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd..","[M]Meningiomas","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd1.","[M]Meningiomatosis NOS","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd4.","Fibrous meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd5.","Psammomatous meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd7.","Haemangioblastic meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBd9.","Transitional meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"BBdz.","[M]Meningioma NOS","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"ByuGP","[X]Benign neoplasm of meninges, unspecified","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X00Fc","Excision of tumour of brain meninges","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X77nb","Prolactinoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X77nc","Microprolactinoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X77nd","Macroprolactinoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X77pl","Atypical meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X77pp","Plexiform Schwannoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X78aD","Pituitary adenoma - disorder","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X78am","Meningioma of optic nerve sheath","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X78aM","Functionless pituitary adenoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X78aN","Pituitary microadenoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X78aP","Pituitary macroadenoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X78aq","Benign tumour of acoustic vestibular nerve","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"X78aQ","Suprasellar extension of pituitary adenoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"Xa7O9","Removal of acoustic neuroma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"Xa985","Intracranial meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"Xa99N","Meningiomatosis","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"Xa99U","Schwannoma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"XC0u9","Pituitary macroadenoma with extrasellar extension","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"XE20p","(Benign tumour: [brain/nervous] or [brain] or [cerebral]) or (acoustic neuroma) or (pituitary adenoma) or (meningioma)","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"XE2va","Benign neoplasm of brain and other parts of nervous system","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"XE2vb","Benign neoplasm of pituitary gland and craniopharyngeal duct","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"XM0C9","Meningioma","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
"XM1MP","Benign cerebral tumour","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system"
