"Code","Description","Condition","Sub-condition"
"G55..","Cardiomyopathy","Cardiomyopathy",""
"G551.","Hypertrophic obstructive cardiomyopathy","Cardiomyopathy",""
"G554.","Other primary cardiomyopathies","Cardiomyopathy",""
"G5542","Familial cardiomyopathy","Cardiomyopathy",""
"G5543","Hypertrophic cardiomyopathy without obstruction","Cardiomyopathy",""
"G5544","Primary dilated cardiomyopathy","Cardiomyopathy",""
"G555.","Alcohol-induced heart muscle disease","Cardiomyopathy",""
"G5570","Amyloid heart muscle disease","Cardiomyopathy",""
"G5580","Cardiomyopathy in Friedreich's ataxia","Cardiomyopathy",""
"G5581","Cardiomyopathy in myotonic dystrophy","Cardiomyopathy",""
"G55y0","Cardiomyopathy due to drugs and other external agents","Cardiomyopathy",""
"G55z.","Cardiomyopathy NOS","Cardiomyopathy",""
"Gyu5M","[X]Other hypertrophic cardiomyopathy","Cardiomyopathy",""
"Gyu5P","[X]Other cardiomyopathies","Cardiomyopathy",""
"X201c","Familial dilated cardiomyopathy","Cardiomyopathy",""
"X201Y","Hypertrophic cardiomyopathy","Cardiomyopathy",""
"X201Z","Secondary dilated cardiomyopathy","Cardiomyopathy",""
"Xa1fq","Arrhythmogenic right ventricular cardiomyopathy","Cardiomyopathy",""
"XaWye","Takotsubo cardiomyopathy","Cardiomyopathy",""
"XaZcx","Amyloid cardiomyopathy","Cardiomyopathy",""
"XaZSw","Senile cardiac amyloidosis","Cardiomyopathy",""
"XE0Uz","Congestive cardiomyopathy","Cardiomyopathy",""
"XE0V1","Secondary cardiomyopathy NOS","Cardiomyopathy",""
