"Code","Description","Condition","Sub-condition"
"F23..","Congenital cerebral palsy (& spastic)","Cerebral Palsy","Cerebral Palsy"
"F231.","Infantile hemiplegia","Cerebral Palsy","Cerebral Palsy"
"F234.","Infantile hemiplegia NOS","Cerebral Palsy","Cerebral Palsy"
"F23yz","Other infantile cerebral palsy NOS","Cerebral Palsy","Cerebral Palsy"
"F23z.","Congenital cerebral palsy NOS","Cerebral Palsy","Cerebral Palsy"
"F4423","Vogt-Koyanagi-Harada disease","Cerebral Palsy","Cerebral Palsy"
"X00Em","Infantile cerebral palsy","Cerebral Palsy","Cerebral Palsy"
"X00En","Spastic cerebral palsy","Cerebral Palsy","Cerebral Palsy"
"X00Eq","Cerebral palsy with spastic/ataxic diplegia","Cerebral Palsy","Cerebral Palsy"
"XaBE2","Cerebral palsy, not congenital or infantile, acute","Cerebral Palsy","Cerebral Palsy"
"XE15L","Symptomatic torsion dystonia","Cerebral Palsy","Cerebral Palsy"
"XE15V","Congenital monoplegia","Cerebral Palsy","Cerebral Palsy"
"XE181","Cerebral palsy (&/or infantile) &/or infantile hemiplegia","Cerebral Palsy","Cerebral Palsy"
"XE2Q7","Athetoid cerebral palsy","Cerebral Palsy","Cerebral Palsy"
"XE2Q8","Cerebral palsy","Cerebral Palsy","Cerebral Palsy"
"XE2Q9","Cerebral palsy with spastic diplegia","Cerebral Palsy","Cerebral Palsy"
"XM1Pu","Congenital cerebral palsy","Cerebral Palsy","Cerebral Palsy"
"XM1Pv","Congenital spastic cerebral palsy","Cerebral Palsy","Cerebral Palsy"
