"Code","Description","Condition","Sub-condition"
"K151.","Chronic interstitial cystitis","Non-acute cystitis","Non-acute cystitis"
"K1510","Hunner's ulcer","Non-acute cystitis","Non-acute cystitis"
"K1512","Submucous cystitis","Non-acute cystitis","Non-acute cystitis"
"K151z","Chronic interstitial cystitis NOS","Non-acute cystitis","Non-acute cystitis"
"K152.","Other chronic cystitis","Non-acute cystitis","Non-acute cystitis"
"K152y","Chronic cystitis unspecified","Non-acute cystitis","Non-acute cystitis"
"K152z","Other chronic cystitis NOS","Non-acute cystitis","Non-acute cystitis"
"K1531","Chronic trigonitis","Non-acute cystitis","Non-acute cystitis"
"K1532","Urethrotrigonitis","Non-acute cystitis","Non-acute cystitis"
"K153z","Trigonitis NOS","Non-acute cystitis","Non-acute cystitis"
"K15y0","Cystitis cystica","Non-acute cystitis","Non-acute cystitis"
"K15y1","Irradiation cystitis","Non-acute cystitis","Non-acute cystitis"
"Kyu50","[X]Other chronic cystitis","Non-acute cystitis","Non-acute cystitis"
"X30Nb","Chronic cystitis - culture negative","Non-acute cystitis","Non-acute cystitis"
"X30Ne","Chronic radiation cystitis","Non-acute cystitis","Non-acute cystitis"
"Xa8EK","Chronic cystitis","Non-acute cystitis","Non-acute cystitis"
"XaY6b","Follicular cystitis","Non-acute cystitis","Non-acute cystitis"
"XE0dq","Trigonitis","Non-acute cystitis","Non-acute cystitis"
