"Code","Description","Condition","Sub-condition"
"43B4.","Hepatitis B surface antigen positive","Chronic liver disease","Chronic viral hepatitis"
"43B5.","Hepatitis e antigen present","Chronic liver disease","Chronic viral hepatitis"
"76093","Local ligation of oesophageal varices","Chronic liver disease","Portal hypertension"
"76094","Open injection sclerotherapy to oesophageal varices","Chronic liver disease","Portal hypertension"
"760C3","Fibreoptic oesophagoscopy and injection sclerotherapy of varices","Chronic liver disease","Portal hypertension"
"760C5","Fibreoptic oesophagoscopy and banding of oesophageal varices","Chronic liver disease","Portal hypertension"
"760F4","Rigid oesophagoscopy and banding of oesophageal varices","Chronic liver disease","Portal hypertension"
"7800.","Liver transplant","Chronic liver disease","Hepatic failure"
"78000","Orthotopic liver transplant","Chronic liver disease","Hepatic failure"
"78002","Replacement of previous liver transplant","Chronic liver disease","Hepatic failure"
"7800z","Transplantation of liver NOS","Chronic liver disease","Hepatic failure"
"A703.","Viral serum hepatitis B","Chronic liver disease","Chronic viral hepatitis"
"A7050","Viral hepatitis C without mention of hepatic coma","Chronic liver disease","Chronic viral hepatitis"
"A7071","Chronic viral hepatitis B without delta-agent","Chronic liver disease","Chronic viral hepatitis"
"A70z0","Hepatitis C","Chronic liver disease","Chronic viral hepatitis"
"G850.","Bleeding oesophageal varices","Chronic liver disease","Portal hypertension"
"G851.","Oesophageal varices without bleeding","Chronic liver disease","Portal hypertension"
"G852z","Oesophageal varices in diseases EC NOS","Chronic liver disease","Portal hypertension"
"G857.","Gastric varices","Chronic liver disease","Portal hypertension"
"Gyu94","[X]Oesophageal varices in diseases classified elsewhere","Chronic liver disease","Portal hypertension"
"J6000","Acute hepatic failure","Chronic liver disease","Hepatic failure"
"J61..","Cirrhosis and chronic liver disease","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J611.","Acute alcoholic hepatitis","Chronic liver disease","Alcoholic liver disease"
"J613.","Alcoholic liver damage unspecified","Chronic liver disease","Alcoholic liver disease"
"J6141","Chronic active hepatitis","Chronic liver disease","Autoimmune liver disease"
"J615.","(Cirrhosis - non alcoholic) or (portal cirrhosis)","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J6153","Diffuse nodular cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J6155","Macronodular cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J615y","Portal cirrhosis unspecified","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J615z","(Liver cirrhosis: [named variants] or [NOS]) or (hepatic fibrosis)","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J616.","Biliary cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J6160","Primary biliary cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J616z","Biliary cirrhosis NOS","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J61y.","Other non-alcoholic chronic liver disease","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J61y3","Portal fibrosis without cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J61yz","Other non-alcoholic chronic liver disease NOS","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J61z.","Chronic liver disease NOS","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J62..","Liver abscess and sequelae of chronic liver disease","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J623.","Portal hypertension","Chronic liver disease","Portal hypertension"
"J624.","Hepatorenal syndrome","Chronic liver disease","Hepatic failure"
"J6356","Toxic liver disease with fibrosis and cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"J63A.","Hepatic granulomas in sarcoidosis","Chronic liver disease","Autoimmune liver disease"
"J6617","Primary sclerosing cholangitis","Chronic liver disease","Autoimmune liver disease"
"Jyu71","[X]Other and unspecified cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"PB61.","Atresia of bile ducts","Chronic liver disease","Hepatic failure"
"Q4091","Congenital hepatitis B infection","Chronic liver disease","Chronic viral hepatitis"
"SP142","Hepatic failure as a complication of care","Chronic liver disease","Hepatic failure"
"X0058","Hepatic encephalopathy","Chronic liver disease","Hepatic failure"
"X2063","Oesophageal varices","Chronic liver disease","Portal hypertension"
"X306h","Chronic viral hepatitis","Chronic liver disease","Chronic viral hepatitis"
"X306i","Chronic viral hepatitis B","Chronic liver disease","Chronic viral hepatitis"
"X306j","Chronic viral hepatitis B with hepatitis D","Chronic liver disease","Chronic viral hepatitis"
"X306k","Chronic viral hepatitis C","Chronic liver disease","Chronic viral hepatitis"
"X306r","Alcoholic hepatitis","Chronic liver disease","Alcoholic liver disease"
"X306T","Inflammatory liver disease","Chronic liver disease","Autoimmune liver disease"
"X3071","Alcoholic liver disease","Chronic liver disease","Alcoholic liver disease"
"X3072","Alcoholic fibrosis and sclerosis of liver","Chronic liver disease","Alcoholic liver disease"
"X3073","Alcoholic hepatic failure","Chronic liver disease","Alcoholic liver disease"
"X3076","Hepatic failure","Chronic liver disease","Hepatic failure"
"X3077","Liver failure NOS","Chronic liver disease","Hepatic failure"
"X3079","Fulminant hepatic failure","Chronic liver disease","Hepatic failure"
"X307L","Cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"X307M","Cirrhosis of liver NOS","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"X307O","Cryptogenic cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"X307Q","Micronodular cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"X307R","Portal cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"X307W","Fibrosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"X307x","Liver transplant disorder","Chronic liver disease","Hepatic failure"
"X307y","Liver transplant rejection","Chronic liver disease","Hepatic failure"
"X307Z","Hepatic sclerosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"Xa0v1","Hepatitis C non-immune","Chronic liver disease","Chronic viral hepatitis"
"XaBE3","Chronic alcoholic hepatitis","Chronic liver disease","Alcoholic liver disease"
"XaBM6","Oesophageal varices in cirrhosis of the liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"XaC1d","Oesophageal varices in alcoholic cirrhosis of the liver","Chronic liver disease","Alcoholic liver disease"
"XaE6u","Oesophageal varices NOS","Chronic liver disease","Portal hypertension"
"XaEMF","Hepatitis C IgG level","Chronic liver disease","Chronic viral hepatitis"
"XaFDz","Hepatitis C antibody test positive","Chronic liver disease","Chronic viral hepatitis"
"XaILY","Hepatitis C nucleic acid detection","Chronic liver disease","Chronic viral hepatitis"
"XaIrP","Hepatitis B nucleic acid detection","Chronic liver disease","Chronic viral hepatitis"
"XaIrZ","Hepatitis C virus genotype","Chronic liver disease","Chronic viral hepatitis"
"XaJTk","Autoimmune hepatitis","Chronic liver disease","Autoimmune liver disease"
"XaJX1","[V]Hepatitis C carrier","Chronic liver disease","Chronic viral hepatitis"
"XaJxp","Acute hepatic failure due to drugs","Chronic liver disease","Hepatic failure"
"XaLdJ","Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices","Chronic liver disease","Portal hypertension"
"XaPEy","Hepatitis B screening positive","Chronic liver disease","Chronic viral hepatitis"
"XaPLl","Hepatitis C screening positive","Chronic liver disease","Chronic viral hepatitis"
"XaXBp","Hepatitis C viral ribonucleic acid polymerase chain reaction positive","Chronic liver disease","Chronic viral hepatitis"
"XaYbh","Hepatitis C antigen positive","Chronic liver disease","Chronic viral hepatitis"
"XaZ5P","Hepatitis C genotype 1","Chronic liver disease","Chronic viral hepatitis"
"XaZ5S","Hepatitis C genotype 3","Chronic liver disease","Chronic viral hepatitis"
"XaZBl","12 week virologic response to hepatitis C treatment","Chronic liver disease","Chronic viral hepatitis"
"XaZDE","On hepatitis C treatment plan","Chronic liver disease","Chronic viral hepatitis"
"XE0b4","Alcoholic cirrhosis of liver","Chronic liver disease","Alcoholic liver disease"
"XE0b5","Cirrhosis - non-alcoholic","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"XE0bA","Non-alcoholic cirrhosis NOS","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"XE0dD","(Cirrhosis &/or chronic liver dis) or (alcoholic liver disease)","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"XE0dF","Alcoholic liver damage NOS","Chronic liver disease","Alcoholic liver disease"
"XE0dH","Chronic hepatitis (& [NOS] or [active B] or [active] or [persistent])","Chronic liver disease","Chronic viral hepatitis"
"ZV427","[V]Liver transplanted","Chronic liver disease","Hepatic failure"
"ZV7C0","[V]Assessment for liver transplant","Chronic liver disease","Hepatic failure"
