"Code","Description","Condition","Sub-condition"
"14V2.","H/O: renal dialysis","Chronic renal disease","End stage renal disease"
"4I29.","Peritoneal dialysate sample","Chronic renal disease","End stage renal disease"
"7B00.","Renal transplant","Chronic renal disease","End stage renal disease"
"7B001","Live donor renal transplant","Chronic renal disease","End stage renal disease"
"7B002","Cadaveric renal transplant","Chronic renal disease","End stage renal disease"
"7B00z","Transplantation of kidney NOS","Chronic renal disease","End stage renal disease"
"7B063","Exploration of renal transplant","Chronic renal disease","End stage renal disease"
"7L1A.","Compensation for renal failure (& dialysis)","Chronic renal disease","End stage renal disease"
"7L1A1","Peritoneal dialysis","Chronic renal disease","End stage renal disease"
"7L1A2","Haemodialysis NEC","Chronic renal disease","End stage renal disease"
"7L1B0","Insertion of chronic ambulatory peritoneal dialysis catheter","Chronic renal disease","End stage renal disease"
"7L1B1","Removal of chronic ambulatory peritoneal dialysis catheter","Chronic renal disease","End stage renal disease"
"G7520","Goodpasture's syndrome","Chronic renal disease","Glomerulonephritis"
"K0...","Nephritis, nephrosis and nephrotic syndrome","Chronic renal disease","Glomerulonephritis"
"K00..","Nephritis (& [acute] or [acute glomerulonephritis] or [Bright's disease])","Chronic renal disease","Glomerulonephritis"
"K000.","Acute proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K00y2","Acute focal nephritis","Chronic renal disease","Glomerulonephritis"
"K00y3","Acute diffuse nephritis","Chronic renal disease","Glomerulonephritis"
"K00yz","Other acute glomerulonephritis NOS","Chronic renal disease","Glomerulonephritis"
"K00z.","Acute glomerulonephritis NOS","Chronic renal disease","Glomerulonephritis"
"K01..","Nephrotic syndrome","Chronic renal disease","Glomerulonephritis"
"K010.","Nephrotic syndrome with proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K011.","Nephrotic syndrome with membranous glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K012.","Nephrotic syndrome with membranoproliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K013.","Nephrotic syndrome (& [minimal change glomerulonephritis] or [steroid sensitive])","Chronic renal disease","Glomerulonephritis"
"K014.","Nephrotic syndrome, minor glomerular abnormality","Chronic renal disease","Glomerulonephritis"
"K015.","Nephrotic syndrome, focal and segmental glomerular lesions","Chronic renal disease","Glomerulonephritis"
"K016.","Nephrotic syndrome, diffuse membranous glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K017.","Nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K019.","Nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K01A.","Nephrotic syndrome, dense deposit disease","Chronic renal disease","Glomerulonephritis"
"K01x0","Nephrotic syndrome in amyloidosis","Chronic renal disease","Glomerulonephritis"
"K01z.","Nephrotic syndrome NOS","Chronic renal disease","Glomerulonephritis"
"K02..","Chronic nephropathy (& [glomerulonephritis] or [nephritis])","Chronic renal disease","Glomerulonephritis"
"K020.","Chronic mesangial proliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K021.","Membranous glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K022.","Mesangiocapillary glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K02y.","Other chronic glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K02y0","Chronic glomerulonephritis with diseases EC","Chronic renal disease","Glomerulonephritis"
"K02y2","Chronic focal glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K02yz","Other chronic glomerulonephritis NOS","Chronic renal disease","Glomerulonephritis"
"K03..","Nephritis &/or nephropathy unspecified","Chronic renal disease","Glomerulonephritis"
"K031.","Membranous nephritis unspecified","Chronic renal disease","Glomerulonephritis"
"K0320","Focal membranoproliferative glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K0321","Recurrent benign haematuria syndrome","Chronic renal disease","Glomerulonephritis"
"K0326","Berger's IgA or IgG nephropathy","Chronic renal disease","Glomerulonephritis"
"K032y","(Glomerulonephritis NEC: [named variants]) or (nephritis unspecified with other specified lesion of membranoproliferative glomerulonephritis)","Chronic renal disease","Glomerulonephritis"
"K03y.","Other nephritis and nephrosis unspecified","Chronic renal disease","Glomerulonephritis"
"K03yz","Other nephritis and nephrosis NOS","Chronic renal disease","Glomerulonephritis"
"K03z.","Unspecified glomerulonephritis NOS","Chronic renal disease","Glomerulonephritis"
"K072.","Glomerulosclerosis","Chronic renal disease","Glomerulonephritis"
"K0A..","Glomerular disease","Chronic renal disease","Glomerulonephritis"
"K0A25","Recurrent and persistent haematuria, diffuse mesangiocapillary glomerulonephritis","Chronic renal disease","Glomerulonephritis"
"K0A3.","Chronic nephritic syndrome","Chronic renal disease","Glomerulonephritis"
