"Code","Description","Condition","Sub-condition"
"N2401","Fibrositis unspecified","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"N2405","Fibrositis of neck","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"N2406","Fibrositis arm","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"R0074","[D]Postviral (asthenic) syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"X75rx","Fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"Xa01F","Chronic fatigue syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"XaPom","Mild chronic fatigue syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"XaPon","Moderate chronic fatigue syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"XaPoo","Severe chronic fatigue syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"XaR7C","Referral to chronic fatigue syndrome specialist team","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"XaRAz","Referral for chronic fatigue syndrome activity management","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"XE0UW","Postviral infection debility","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"XE17Z","Postinfective encephalitis (& [myalgic encephalitis] or [myalgic encephalomyelitis])","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
"XM0Cg","C/O - postviral syndrome","Postviral fatigue syndrome, neurasthenia and fibromyalgia","Postviral fatigue syndrome, neurasthenia and fibromyalgia"
