"Code","Description","Condition","Sub-condition"
"XacAb","CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1","Chronic renal disease","Chronic Kidney Disease"
"XacAd","CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2","Chronic renal disease","Chronic Kidney Disease"
"XacAe","CKD G4A3 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3","Chronic renal disease","Chronic Kidney Disease"
"XacAf","CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1","Chronic renal disease","Chronic Kidney Disease"
"XacAh","CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2","Chronic renal disease","Chronic Kidney Disease"
"XacAi","CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3","Chronic renal disease","Chronic Kidney Disease"
"XacAM","CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1","Chronic renal disease","Chronic Kidney Disease"
"XacAN","CKD G3aA2 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2","Chronic renal disease","Chronic Kidney Disease"
"XacAO","CKD G3aA3 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3","Chronic renal disease","Chronic Kidney Disease"
"XacAV","CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1","Chronic renal disease","Chronic Kidney Disease"
"XacAW","CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2","Chronic renal disease","Chronic Kidney Disease"
"XacAX","CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3","Chronic renal disease","Chronic Kidney Disease"
"XaLHI","Chronic kidney disease stage 3","Chronic renal disease","Chronic Kidney Disease"
"XaLHJ","Chronic kidney disease stage 4","Chronic renal disease","Chronic Kidney Disease"
"XaLHK","Chronic kidney disease stage 5","Chronic renal disease","Chronic Kidney Disease"
"XaNbn","Chronic kidney disease stage 3A","Chronic renal disease","Chronic Kidney Disease"
"XaNbo","Chronic kidney disease stage 3B","Chronic renal disease","Chronic Kidney Disease"
"XaO3t","Chronic kidney disease stage 3 with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO3u","Chronic kidney disease stage 3 without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO3v","Chronic kidney disease stage 3A with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO3w","Chronic kidney disease stage 3A without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO3x","Chronic kidney disease stage 3B with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO3y","Chronic kidney disease stage 3B without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO3z","Chronic kidney disease stage 4 with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO40","Chronic kidney disease stage 4 without proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO41","Chronic kidney disease stage 5 with proteinuria","Chronic renal disease","Chronic Kidney Disease"
"XaO42","Chronic kidney disease stage 5 without proteinuria","Chronic renal disease","Chronic Kidney Disease"
