"Code","Description","Condition","Sub-condition"
"44J3.","Serum creatinine (& level)","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J3.","Serum creatinine","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J3.","Creatinine - serum","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J30","Serum creatinine abnormal","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J31","Serum creatinine low","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J32","Serum creatinine normal","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J33","Serum creatinine raised","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"44J3z","Serum creatinine NOS","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"X771Q","Creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"XaERc","Corrected serum creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"XaERX","Corrected plasma creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"XaETQ","Plasma creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"XE2q5","Serum creatinine level","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
"XE2q5","Serum creatinine","Chronic renal disease","Chronic Kidney Disease (serum creatinine)"
