"Code","Description","Condition","Sub-condition"
"3274.","ECG: paroxysmal atrial tachy.","Conduction disorders and other arrhythmias",""
"3293.","ECG: complete sinoatrial block","Conduction disorders and other arrhythmias",""
"3298.","ECG: complete atrioventricular block","Conduction disorders and other arrhythmias",""
"G560.","Complete atrioventricular block","Conduction disorders and other arrhythmias",""
"G570.","Paroxysmal supraventricular tachycardia","Conduction disorders and other arrhythmias",""
"G5700","Paroxysmal atrial tachycardia","Conduction disorders and other arrhythmias",""
"G5701","Paroxysmal atrioventricular tachycardia","Conduction disorders and other arrhythmias",""
"G5702","Paroxysmal junctional tachycardia","Conduction disorders and other arrhythmias",""
"G5703","Paroxysmal nodal tachycardia","Conduction disorders and other arrhythmias",""
"G570z","Paroxysmal supraventricular tachycardia NOS","Conduction disorders and other arrhythmias",""
"G57y3","Sick sinus syndrome","Conduction disorders and other arrhythmias",""
"G57y4","Sinoatrial node dysfunction NOS","Conduction disorders and other arrhythmias",""
"G57y9","Supraventricular tachycardia NOS","Conduction disorders and other arrhythmias",""
"Xa0k6","Supraventricular tachycardia","Conduction disorders and other arrhythmias",""
"XaLBo","History of supraventricular tachycardia","Conduction disorders and other arrhythmias",""
