"Code","Description","Condition","Sub-condition"
"8D21.","Provide head worn hearing aid","Hearing loss","Hearing loss"
"8D23.","Ear fitting hearing aid","Hearing loss","Hearing loss"
"8D24.","Replace hearing aid battery","Hearing loss","Hearing loss"
"F5801","Presbyacusis","Hearing loss","Hearing loss"
"F5914","Congenital sensorineural deafness","Hearing loss","Hearing loss"
"F5916","Sensorineural hearing loss, bilateral","Hearing loss","Hearing loss"
"F5921","Mixed conductive and sensorineural hearing loss, bilateral","Hearing loss","Hearing loss"
"Ua1rb","Fit hearing aid","Hearing loss","Hearing loss"
"Ua1rd","Checking hearing aid","Hearing loss","Hearing loss"
"Ua1rf","Hearing aid procedure","Hearing loss","Hearing loss"
"X00h2","Insertion of bone anchors for subcutaneous bone anchored hearing aid","Hearing loss","Hearing loss"
"X00h3","Insertion of bone anchors for percutaneous bone anchored hearing aid","Hearing loss","Hearing loss"
"X00kT","Recessive sensorineural hearing loss","Hearing loss","Hearing loss"
"X79ms","Hearing aid","Hearing loss","Hearing loss"
"Xa0LN","Hearing aid worn","Hearing loss","Hearing loss"
"Xa1pl","Hearing aid provision","Hearing loss","Hearing loss"
"Xa4hp","Attention to hearing aid","Hearing loss","Hearing loss"
"Xa8Ek","Adjust hearing aid settings","Hearing loss","Hearing loss"
"XaaLf","Bilateral profound sensorineural hearing loss","Hearing loss","Hearing loss"
"XaaLg","Bilateral congenital sensorineural hearing loss","Hearing loss","Hearing loss"
"XaAv6","Second stage bone anchored hearing aid procedure","Hearing loss","Hearing loss"
"XaIRo","Hearing aid problem","Hearing loss","Hearing loss"
"XaKjD","Uses hearing loop","Hearing loss","Hearing loss"
"XaLNa","Placement of hearing implant in external ear","Hearing loss","Hearing loss"
"XaLNh","Placement of hearing implant in middle ear","Hearing loss","Hearing loss"
"XaLNl","Attachment of bone anchored hearing prosthesis","Hearing loss","Hearing loss"
"XaLNo","Reduction of soft tissue for bone anchored hearing prosthesis","Hearing loss","Hearing loss"
"XaLNr","Attachment of bone anchored hearing prosthesis NOS","Hearing loss","Hearing loss"
"XaMkv","One stage insertion of fixtures for bone anchored hearing prosthesis","Hearing loss","Hearing loss"
"XaMkw","Fitting of external hearing prosthesis to bone anchored fixtures","Hearing loss","Hearing loss"
"XaNDb","Registered deaf","Hearing loss","Hearing loss"
"XaPEU","[V]Bone anchored hearing aid in situ","Hearing loss","Hearing loss"
"XaRE3","Moderate acquired hearing loss","Hearing loss","Hearing loss"
"XaRE4","Severe acquired hearing loss","Hearing loss","Hearing loss"
"XaRE5","Profound acquired hearing loss","Hearing loss","Hearing loss"
"XaZp4","Provision of replacement hearing aid","Hearing loss","Hearing loss"
"XE1AH","Presbyacusis (& [senile &/or other])","Hearing loss","Hearing loss"
"ZV45G","[V]Presence of external hearing-aid","Hearing loss","Hearing loss"
"ZV532","[V]Fitting or adjustment of hearing aid","Hearing loss","Hearing loss"
"ZV53D","[V]Adjustment and management of implanted hearing device","Hearing loss","Hearing loss"
