"Code","Description","Condition","Sub-condition"
"XE15k","Diabetic polyneuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"XE12I","Diabetes + neuropathy (& [amyotrophy])","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"XaXbW","Symptomatic diabetic peripheral neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"XaKyX","Type II diabetes mellitus with gastroparesis","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"XaKyW","Type 1 diabetes mellitus with gastroparesis","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"XaFn9","Type II diabetes mellitus with neuropathic arthropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"XaFmM","Type I diabetes mellitus with neuropathic arthropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"XaEnq","Type II diabetes mellitus with polyneuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"XaEno","Type I diabetes mellitus with polyneuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"Xac0x","Diabetic peripheral neuropathic pain","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"X00Am","Diabetic truncal radiculopathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"X00Aj","Diabetic chronic painful polyneuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"X00Ah","Diabetic distal sensorimotor polyneuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"X00Ag","Diabetic neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"N0301","Diabetic neuropathic arthropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F3722","Asymptomatic diabetic neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F3721","Chronic painful diabetic neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F3720","Acute painful diabetic neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F372.","Diabetic neuropathy &/or diabetic polyneuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"F1711","Diabetic autonomic neuropathy","Peripheral or autonomic neuropathy","Diabetic neurological complications"
"C106.","Diabetes mellitus with neurological manifestation: (& [amyotrophy] or [neuropathy] or [polyneuropathy])","Peripheral or autonomic neuropathy","Diabetic neurological complications"
