"Code","Description","Condition","Sub-condition"
"1434.","H/O: diabetes mellitus","Diabetes NOS","Diabetes NOS"
"14P3.","H/O: insulin therapy","Diabetes NOS","Diabetes NOS"
"66A3.","Diabetic on diet only","Diabetes NOS","Diabetes NOS"
"66A4.","Diabetic on oral treatment","Diabetes NOS","Diabetes NOS"
"66A5.","Diabetic on insulin","Diabetes NOS","Diabetes NOS"
"66AH0","Conversion to insulin","Diabetes NOS","Diabetes NOS"
"C10..","Diabetes mellitus","Diabetes NOS","Diabetes NOS"
"C100.","Diabetes mellitus with no mention of complication","Diabetes NOS","Diabetes NOS"
"C100z","Diabetes mellitus NOS with no mention of complication","Diabetes NOS","Diabetes NOS"
"C101.","Diabetic ketoacidosis","Diabetes NOS","Diabetes NOS"
"C101y","Other specified diabetes mellitus with ketoacidosis","Diabetes NOS","Diabetes NOS"
"C101z","Diabetes mellitus NOS with ketoacidosis","Diabetes NOS","Diabetes NOS"
"C103.","Diabetes mellitus with ketoacidotic coma","Diabetes NOS","Diabetes NOS"
"C103z","Diabetes mellitus NOS with ketoacidotic coma","Diabetes NOS","Diabetes NOS"
"C104.","Diabetes mellitus: [with renal manifestation] or [nephropathy]","Diabetes NOS","Diabetes NOS"
"C104z","Diabetes mellitus with nephropathy NOS","Diabetes NOS","Diabetes NOS"
"C105.","Diabetes mellitus with ophthalmic manifestation","Diabetes NOS","Diabetes NOS"
"C105z","Diabetes mellitus NOS with ophthalmic manifestation","Diabetes NOS","Diabetes NOS"
"C106.","Diabetes mellitus with neurological manifestation: (& [amyotrophy] or [neuropathy] or [polyneuropathy])","Diabetes NOS","Diabetes NOS"
"C106y","Other specified diabetes mellitus with neurological complications","Diabetes NOS","Diabetes NOS"
"C106z","Diabetes mellitus NOS with neurological manifestation","Diabetes NOS","Diabetes NOS"
"C108z","Unspecified diabetes mellitus with multiple complications","Diabetes NOS","Diabetes NOS"
"C10B0","Steroid-induced diabetes mellitus without complication","Diabetes NOS","Diabetes NOS"
"C10y.","Diabetes mellitus with other specified manifestation","Diabetes NOS","Diabetes NOS"
"C10z.","Diabetes mellitus with unspecified complication","Diabetes NOS","Diabetes NOS"
"C11y0","Steroid-induced diabetes","Diabetes NOS","Diabetes NOS"
"Cyu20","[X]Other specified diabetes mellitus","Diabetes NOS","Diabetes NOS"
"TJ230","Adverse reaction to insulins","Diabetes NOS","Diabetes NOS"
"X40J7","Malnutrition-related diabetes mellitus","Diabetes NOS","Diabetes NOS"
"X40JA","Secondary diabetes mellitus","Diabetes NOS","Diabetes NOS"
"X40JB","Secondary pancreatic diabetes mellitus","Diabetes NOS","Diabetes NOS"
"X40JI","Diabetes mellitus autosomal dominant","Diabetes NOS","Diabetes NOS"
"Xa3ee","Diabetes with ketoacidosis - no coma","Diabetes NOS","Diabetes NOS"
"Xaagd","Diabetes mellitus in remission","Diabetes NOS","Diabetes NOS"
"XaBZQ","Subcutaneous injection of insulin","Diabetes NOS","Diabetes NOS"
"XacsY","Diabetic on insulin and glucagon-like peptide 1 receptor agonist","Diabetes NOS","Diabetes NOS"
"XaEgI","Diabetic on insulin and oral treatment","Diabetes NOS","Diabetes NOS"
"XaEHx","[V]Admitted for commencement of insulin","Diabetes NOS","Diabetes NOS"
"XaFsp","Diabetes resolved","Diabetes NOS","Diabetes NOS"
"XaIyz","Diabetes mellitus with persistent microalbuminuria","Diabetes NOS","Diabetes NOS"
"XaIz0","Diabetes mellitus with persistent proteinuria","Diabetes NOS","Diabetes NOS"
"XaJlR","Secondary diabetes mellitus without complication","Diabetes NOS","Diabetes NOS"
"XaMdq","Insulin dose changed","Diabetes NOS","Diabetes NOS"
"XaP63","Insulin treatment initiated","Diabetes NOS","Diabetes NOS"
"XaRGt","Diabetic on subcutaneous treatment","Diabetes NOS","Diabetes NOS"
"XE10G","Diabetes mellitus with renal manifestation","Diabetes NOS","Diabetes NOS"
"XE10H","Diabetes mellitus with neurological manifestation","Diabetes NOS","Diabetes NOS"
"XE10I","Diabetes mellitus with peripheral circulatory disorder","Diabetes NOS","Diabetes NOS"
"XE128","Diabetes mellitus (& [ketoacidosis])","Diabetes NOS","Diabetes NOS"
"XE12G","Diabetes + eye manifestation (& [cataract] or [retinopathy])","Diabetes NOS","Diabetes NOS"
"XE12I","Diabetes + neuropathy (& [amyotrophy])","Diabetes NOS","Diabetes NOS"
"XE12K","Diabetes: [peripheral circulatory disease] or [gangrene]","Diabetes NOS","Diabetes NOS"
"XE12M","Diabetes with other complications","Diabetes NOS","Diabetes NOS"
"XSETK","Drug-induced diabetes mellitus","Diabetes NOS","Diabetes NOS"
