"Code","Description","Condition","Sub-condition"
"1467.","H/O: anorexia nervosa","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"E271.","Anorexia nervosa","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"E275.","Other and unspecified non-organic eating disorders","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"E2750","Unspecified non-organic eating disorder","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"E2751","Compulsive eating disorder (& [bulimia including non-organic overeating])","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"E275y","Other specified non-organic eating disorder","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"Eu50.","[X]Eating disorders","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"Eu502","[X] (Bulimia nervosa) or (bulimia NOS) or (hyperorexia nervosa)","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"Eu50z","[X]Eating disorder, unspecified","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"X00Sx","Eating disorder","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"X00Sz","Atypical anorexia nervosa","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"X00T1","Atypical bulimia nervosa","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"XE1Yk","Bulimia nervosa","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
"XE1Zq","[X]Other eating disorders","Anorexia and bulimia nervosa","Anorexia and bulimia nervosa"
