"Code","Description","Condition","Sub-condition"
"1473.","H/O: epilepsy","Epilepsy","Epilepsy"
"21260","Epilepsy resolved","Epilepsy","Epilepsy"
"667..","Epilepsy monitoring","Epilepsy","Epilepsy"
"6671.","Initial epilepsy assessment","Epilepsy","Epilepsy"
"6672.","Follow-up epilepsy assessment","Epilepsy","Epilepsy"
"6674.","Epilepsy associated problems","Epilepsy","Epilepsy"
"667Z.","Epilepsy monitoring NOS","Epilepsy","Epilepsy"
"F25..","Epilepsy","Epilepsy","Epilepsy"
"F250.","Generalised non-convulsive epilepsy","Epilepsy","Epilepsy"
"F2500","(Childhood absence epilepsy) or (Petit mal epilepsy)","Epilepsy","Epilepsy"
"F2502","Epileptic seizures - atonic","Epilepsy","Epilepsy"
"F250y","Other specified generalised non-convulsive epilepsy","Epilepsy","Epilepsy"
"F250z","Generalised non-convulsive epilepsy NOS","Epilepsy","Epilepsy"
"F251.","Generalised convulsive epilepsy","Epilepsy","Epilepsy"
"F2510","Generalised epilepsy","Epilepsy","Epilepsy"
"F2512","Epileptic seizures - clonic","Epilepsy","Epilepsy"
"F2513","Epileptic seizures - myoclonic","Epilepsy","Epilepsy"
"F2514","Epileptic seizures - tonic","Epilepsy","Epilepsy"
"F251y","Other specified generalised convulsive epilepsy","Epilepsy","Epilepsy"
"F251z","Generalised convulsive epilepsy NOS","Epilepsy","Epilepsy"
"F252.","Non-convulsive status epilepticus with impaired consciousness","Epilepsy","Epilepsy"
"F253.","(Grand mal status) or (status epilepticus)","Epilepsy","Epilepsy"
"F254.","Partial epilepsy with impairment of consciousness","Epilepsy","Epilepsy"
"F2540","Temporal lobe epilepsy","Epilepsy","Epilepsy"
"F255.","Partial epilepsy without mention of impairment of consciousness","Epilepsy","Epilepsy"
"F2550","Epilepsy: [Jacksonian] or [focal] or [motor]","Epilepsy","Epilepsy"
"F2551","Epilepsy associated with specific stimuli","Epilepsy","Epilepsy"
"F2552","Somatosensory epilepsy","Epilepsy","Epilepsy"
"F255y","Other specified partial epilepsy without mention of impairment of consciousness","Epilepsy","Epilepsy"
"F255z","Partial epilepsy without mention of impairment of consciousness NOS","Epilepsy","Epilepsy"
"F256.","West syndrome","Epilepsy","Epilepsy"
"F257.","Kojevnikov's epilepsy","Epilepsy","Epilepsy"
"F25y.","Other forms of epilepsy","Epilepsy","Epilepsy"
"F25y1","Gelastic seizure","Epilepsy","Epilepsy"
"F25y2","Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset","Epilepsy","Epilepsy"
