"Code","Description","Condition","Sub-condition"
"1482.","H/O: glaucoma","Glaucoma","Glaucoma"
"7275.","Panretinal photocoagulation for glaucoma","Glaucoma","Glaucoma"
"66T1.","Glaucoma monitoring","Glaucoma","Glaucoma"
"F4421","Posner-Schlossman syndrome","Glaucoma","Glaucoma"
"F45..","Glaucoma","Glaucoma","Glaucoma"
"F451.","Open-angle glaucoma","Glaucoma","Glaucoma"
"F4510","Unspecified open-angle glaucoma","Glaucoma","Glaucoma"
"F4511","Primary open-angle glaucoma","Glaucoma","Glaucoma"
"F4512","Low tension glaucoma","Glaucoma","Glaucoma"
"F4513","Pigmentary glaucoma","Glaucoma","Glaucoma"
"F4515","Open-angle glaucoma residual stage","Glaucoma","Glaucoma"
"F451z","Open-angle glaucoma NOS","Glaucoma","Glaucoma"
"F452.","Glaucoma: [primary angle-closure] or [closed angle]","Glaucoma","Glaucoma"
"F4520","Unspecified primary angle-closure glaucoma","Glaucoma","Glaucoma"
"F4521","Intermittent angle-closure glaucoma","Glaucoma","Glaucoma"
"F4522","Acute angle-closure glaucoma","Glaucoma","Glaucoma"
"F4523","Chronic angle-closure glaucoma","Glaucoma","Glaucoma"
"F452z","Primary angle-closure glaucoma NOS","Glaucoma","Glaucoma"
"F453.","Steroid-induced glaucoma","Glaucoma","Glaucoma"
"F453z","Steroid-induced glaucoma NOS","Glaucoma","Glaucoma"
"F454.","Glaucoma due to disease EC","Glaucoma","Glaucoma"
"F4540","Glaucoma due to chamber angle anomaly","Glaucoma","Glaucoma"
"F4541","Glaucoma due to iris anomaly","Glaucoma","Glaucoma"
"F4550","Phacolytic glaucoma","Glaucoma","Glaucoma"
"F4551","Pseudoexfoliation glaucoma","Glaucoma","Glaucoma"
"F456.","Glaucoma associated with other ocular disorders","Glaucoma","Glaucoma"
"F4562","Glaucoma with ocular inflammation","Glaucoma","Glaucoma"
"F4565","Glaucoma due to ocular trauma","Glaucoma","Glaucoma"
"F456z","Glaucoma associated with other ocular disorders NOS","Glaucoma","Glaucoma"
"F45y.","Other specified forms of glaucoma","Glaucoma","Glaucoma"
"F45y0","Hypersecretion glaucoma","Glaucoma","Glaucoma"
"F45yz","Other specified glaucoma NOS","Glaucoma","Glaucoma"
"F45z.","Glaucoma NOS","Glaucoma","Glaucoma"
"F4H14","Glaucomatous optic atrophy","Glaucoma","Glaucoma"
"FyuG0","[X]Other glaucoma","Glaucoma","Glaucoma"
"P32..","Congenital glaucoma","Glaucoma","Glaucoma"
"P322.","Buphthalmos with other eye anomaly","Glaucoma","Glaucoma"
"P32z.","Buphthalmos NOS","Glaucoma","Glaucoma"
"X00ee","Mixed open and angle-closure glaucoma","Glaucoma","Glaucoma"
"X00ef","Absolute glaucoma","Glaucoma","Glaucoma"
"X00ei","Glaucoma and corneal anomaly","Glaucoma","Glaucoma"
"X00em","Neovascular glaucoma","Glaucoma","Glaucoma"
"X00er","Angle recession glaucoma","Glaucoma","Glaucoma"
"X00es","Glaucoma following surgery","Glaucoma","Glaucoma"
"Xa3fE","Secondary/other glaucoma","Glaucoma","Glaucoma"
"Xa9BT","Secondary glaucoma","Glaucoma","Glaucoma"
"XaEVp","Uveitic glaucoma","Glaucoma","Glaucoma"
"XaEVW","Acute-on-chronic glaucoma","Glaucoma","Glaucoma"
"XaF9D","Primary open-angle glaucoma with narrow angles","Glaucoma","Glaucoma"
"XaF9I","Secondary open-angle glaucoma","Glaucoma","Glaucoma"
"XaFap","Secondary angle-closure glaucoma with rubeosis","Glaucoma","Glaucoma"
"XaL58","Operations following glaucoma surgery","Glaucoma","Glaucoma"
"XaL5A","Laser suture lysis following glaucoma surgery","Glaucoma","Glaucoma"
"XaL5C","Operations following glaucoma surgery NOS","Glaucoma","Glaucoma"
"XaL5m","Needling of bleb following glaucoma surgery","Glaucoma","Glaucoma"
"XaL5n","Injection of bleb following glaucoma surgery","Glaucoma","Glaucoma"
"XaL5o","Revision of bleb NEC following glaucoma surgery","Glaucoma","Glaucoma"
"XaNcY","Suspected glaucoma","Glaucoma","Glaucoma"
"XE2a8","Primary angle-closure glaucoma","Glaucoma","Glaucoma"
