"Code","Description","Condition","Sub-condition"
"1429.","H/O: * leukaemia","Haematological malignancies",""
"B6...","Malignant neoplasm of lymphatic and haemopoietic tissue (& [histiocytic tissue])","Haematological malignancies",""
"B600.","Reticulosarcoma","Haematological malignancies",""
"B601.","Lymphosarcoma","Haematological malignancies",""
"B602.","Burkitt's lymphoma - disorder","Haematological malignancies",""
"B602z","Burkitt's lymphoma NOS","Haematological malignancies",""
"B61..","Hodgkin's disease","Haematological malignancies",""
"B6103","Hodgkin's paragranuloma of intra-abdominal lymph nodes","Haematological malignancies",""
"B6110","Hodgkin's granuloma of unspecified site","Haematological malignancies",""
"B6111","Hodgkin's granuloma of lymph nodes of head, face and neck","Haematological malignancies",""
"B612.","Hodgkin's sarcoma","Haematological malignancies",""
"B613.","Lymphocyte-rich classical Hodgkin lymphoma","Haematological malignancies",""
"B6131","Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck","Haematological malignancies",""
"B614.","Hodgkin's disease, nodular sclerosis","Haematological malignancies",""
"B6141","Hodgkin's disease, nodular sclerosis of lymph nodes of head, face and neck","Haematological malignancies",""
"B6142","Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes","Haematological malignancies",""
"B614z","Hodgkin's disease, nodular sclerosis NOS","Haematological malignancies",""
"B615.","Hodgkin's disease, mixed cellularity","Haematological malignancies",""
"B61z.","Hodgkin's disease NOS","Haematological malignancies",""
"B61z0","Hodgkin's disease NOS, unspecified site","Haematological malignancies",""
"B61z1","Hodgkin's disease NOS of lymph nodes of head, face and neck","Haematological malignancies",""
"B62..","Other malignant neoplasm of lymphoid and histiocytic tissue","Haematological malignancies",""
"B6200","Nodular lymphoma of unspecified site","Haematological malignancies",""
"B6207","Nodular lymphoma of spleen","Haematological malignancies",""
"B621.","Mycosis fungoides","Haematological malignancies",""
"B6210","Mycosis fungoides of unspecified site","Haematological malignancies",""
"B621z","Mycosis fungoides NOS","Haematological malignancies",""
"B623.","Malignant histiocytosis","Haematological malignancies",""
"B624.","Hairy cell leukaemia","Haematological malignancies",""
"B625.","Letterer-Siwe disease","Haematological malignancies",""
"B626.","Malignant mast cell tumours","Haematological malignancies",""
"B627.","Non-Hodgkin's lymphoma - disorder","Haematological malignancies",""
"B6275","Malignant lymphoma - mixed small and large cell","Haematological malignancies",""
"B6278","Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)","Haematological malignancies",""
"B627B","Other types of follicular non-Hodgkin's lymphoma","Haematological malignancies",""
"B627C","Follicular lymphoma: [non-Hodgkin's] or [NOS]","Haematological malignancies",""
"B62x.","Malignant lymphoma otherwise specified","Haematological malignancies",""
"B62y.","Malignant lymphoma NOS","Haematological malignancies",""
"B62y0","Malignant lymphoma NOS of unspecified site","Haematological malignancies",""
"B62y1","Malignant lymphoma NOS of lymph nodes of head, face and neck","Haematological malignancies",""
"B62y3","Malignant lymphoma NOS of intra-abdominal lymph nodes","Haematological malignancies",""
"B62y6","Malignant lymphoma NOS of intrapelvic lymph nodes","Haematological malignancies",""
"B62z.","Malignant neoplasms of lymphoid and histiocytic tissue NOS","Haematological malignancies",""
"B63..","Multiple myeloma and immunoproliferative disease","Haematological malignancies",""
"B630.","Myeloma","Haematological malignancies",""
"B64..","Lymphoid leukaemia","Haematological malignancies",""
"B640.","Acute lymphoid leukaemia","Haematological malignancies",""
"B641.","Chronic lymphoid leukaemia","Haematological malignancies",""
"B642.","Subacute lymphoid leukaemia","Haematological malignancies",""
"B64y2","Adult T-cell leukaemia","Haematological malignancies",""
"B65..","Myeloid leukaemia","Haematological malignancies",""
"B650.","Acute myeloid leukaemia","Haematological malignancies",""
"B651.","Chronic myeloid leukaemia","Haematological malignancies",""
"B65y1","Acute promyelocytic leukaemia","Haematological malignancies",""
"B66..","Monocytic leukaemia","Haematological malignancies",""
"B67..","Other specified leukaemia","Haematological malignancies",""
"B67z.","Other specified leukaemia NOS","Haematological malignancies",""
"B68..","Leukaemia of unspecified cell type","Haematological malignancies",""
"B680.","Acute leukaemia NOS","Haematological malignancies",""
"B681.","Chronic leukaemia NOS","Haematological malignancies",""
"B68z.","Leukaemia NOS","Haematological malignancies",""
"B69..","Myelomonocytic leukaemia","Haematological malignancies",""
"B690.","Acute myelomonocytic leukaemia","Haematological malignancies",""
"B691.","Chronic myelomonocytic leukaemia","Haematological malignancies",""
"B6y..","Malignant neoplasm of lymphatic or haematopoietic tissue otherwise specified","Haematological malignancies",""
"B6z..","Malignant neoplasm lymphatic or haematopoietic tissue NOS","Haematological malignancies",""
"B934.","Polycythaemia rubra vera","Haematological malignancies",""
"BBg..","[M]Lymphomas, NOS or diffuse","Haematological malignancies",""
"BBg1.","[M]Malignant lymphoma NOS","Haematological malignancies",""
"BBg10","[M]Malignant lymphoma, diffuse NOS","Haematological malignancies",""
"BBg2.","[M]Malignant lymphoma, non-Hodgkin's type","Haematological malignancies",""
"BBg7.","[M]Malignant lymphoma, lymphoplasmacytoid type","Haematological malignancies",""
"BBgB.","[M]Malignant lymphoma, follicular centre cell NOS","Haematological malignancies",""
"BBgC.","[M]Malignant lymphoma, lymphocytic, well differentiated NOS","Haematological malignancies",""
"BBgE.","[M]Malignant lymphoma, centrocytic","Haematological malignancies",""
"BBgL.","[M]Malignant lymphoma, small lymphocytic NOS","Haematological malignancies",""
"BBgR.","[M]Malignant lymphoma, large cell, diffuse NOS","Haematological malignancies",""
"BBgz.","[M]Lymphoma, diffuse or NOS","Haematological malignancies",""
"BBh..","Reticulosarcoma morphology","Haematological malignancies",""
"BBj..","[M]Hodgkin's disease","Haematological malignancies",""
"BBj1.","[M]Hodgkin's disease, lymphocytic predominance","Haematological malignancies",""
"BBj11","[M]Hodgkin,s disease, lymphocytic predominance, nodular","Haematological malignancies",""
"BBj6.","[M]Hodgkin's disease, nodular sclerosis NOS","Haematological malignancies",""
"BBj61","[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity","Haematological malignancies",""
"BBk..","Lymphoma, nodular or follicular","Haematological malignancies",""
"BBk0.","[M]Malignant lymphoma, nodular NOS (& [Brill - Symmers' disease])","Haematological malignancies",""
"BBkz.","[M]Lymphoma, nodular or follicular NOS","Haematological malignancies",""
"BBl..","[M]Mycosis fungoides","Haematological malignancies",""
"BBlz.","[M]Mycosis fungoides NOS","Haematological malignancies",""
"BBm5.","[M] Peripheral T-cell lymphoma NOS","Haematological malignancies",""
"BBm7.","[M] Monoclonal gammopathy","Haematological malignancies",""
"BBmD.","[M] Cutaneous lymphoma","Haematological malignancies",""
"BBmE.","[M] Gamma heavy chain disease","Haematological malignancies",""
"BBmH.","[M] Large cell lymphoma","Haematological malignancies",""
"BBn0.","[M]Plasma cell myeloma","Haematological malignancies",""
"BBn2.","[M]Plasmacytoma NOS","Haematological malignancies",""
"BBr..","Leukaemia morphology","Haematological malignancies",""
"BBr00","[M]Leukaemia NOS","Haematological malignancies",""
"BBr2.","[M]Lymphoid leukaemias","Haematological malignancies",""
"BBr20","[M]Lymphoid leukaemia NOS","Haematological malignancies",""
"BBr21","[M]Acute lymphoid leukaemia","Haematological malignancies",""
"BBr23","[M]Chronic lymphoid leukaemia","Haematological malignancies",""
"BBr26","Burkitt's cell leukaemia","Haematological malignancies",""
"BBr27","[M]Adult T-cell leukaemia/lymphoma","Haematological malignancies",""
"BBr60","[M]Myeloid leukaemia NOS","Haematological malignancies",""
"BBr61","[M]Acute myeloid leukaemia","Haematological malignancies",""
"BBr63","[M]Chronic myeloid leukaemia","Haematological malignancies",""
"BBr66","[M]Acute promyelocytic leukaemia","Haematological malignancies",""
"BBr68","[M]Chronic myelomonocytic leukaemia","Haematological malignancies",""
"BBrA8","[M]Leukaemic reticuloendotheliosis","Haematological malignancies",""
"BBs..","[M]Miscellaneous myeloproliferative and lymphoproliferative disorders","Haematological malignancies",""
"BBs0.","[M]Polycythaemia vera","Haematological malignancies",""
"BBv..","[M]Myelodysplastic syndrome","Haematological malignancies",""
"BBv0.","[M]Monocytoid B-cell lymphoma","Haematological malignancies",""
"ByuD.","[X]Malignant neoplasms of lymphoid, haematopoietic and related tissue","Haematological malignancies",""
"ByuD1","[X]Other types of follicular non-Hodgkin's lymphoma","Haematological malignancies",""
"ByuD2","[X]Other types of diffuse non-Hodgkin's lymphoma","Haematological malignancies",""
"ByuD4","[X]Other malignant immunoproliferative diseases","Haematological malignancies",""
"ByuD8","[X]Other specified leukaemias","Haematological malignancies",""
"ByuDC","[X]Diffuse non-Hodgkin's lymphoma, unspecified","Haematological malignancies",""
"ByuDD","[X]Other and unspecified peripheral and cutaneous T-cell lymphomas","Haematological malignancies",""
"ByuDE","[X]Unspecified B-cell non-Hodgkin's lymphoma","Haematological malignancies",""
"ByuHD","[X]Myelodysplastic syndrome, unspecified","Haematological malignancies",""
"C333.","Macroglobulinaemia","Haematological malignancies",""
"C3330","Waldenstrom's macroglobulinaemia","Haematological malignancies",""
"C3332","Gamma heavy chain disease","Haematological malignancies",""
"C37y1","Eosinophilic granuloma","Haematological malignancies",""
"C37y6","Histiocytosis X , unspecified","Haematological malignancies",""
"C37y7","Histiocytosis, unspecified","Haematological malignancies",""
"N3309","Osteoporosis in multiple myelomatosis","Haematological malignancies",""
"X00eT","Lymphoma of retina","Haematological malignancies",""
"X20E9","Langerhans' cell histiocytosis","Haematological malignancies",""
"X50BR","Lymphomatoid papulosis","Haematological malignancies",""
"X78e2","Leukaemia","Haematological malignancies",""
"X78hl","Cutaneous lymphoma","Haematological malignancies",""
"X78hm","Mycosis fungoides of skin","Haematological malignancies",""
"Xa0bS","Malignant lymphoma of breast","Haematological malignancies",""
"Xa0Dd","Lymphoma of intestine","Haematological malignancies",""
"Xa0DX","Gastric lymphoma","Haematological malignancies",""
"Xa0eC","Erythraemia","Haematological malignancies",""
"Xa0jn","Acute biphenotypic leukaemia","Haematological malignancies",""
"Xa0QP","B-cell chronic lymphocytic leukaemia","Haematological malignancies",""
"Xa0Rk","T-cell chronic lymphocytic leukaemia","Haematological malignancies",""
"Xa0Rn","Chronic lymphocytic prolymphocytic leukaemia syndrome","Haematological malignancies",""
"Xa0Ro","Richter's syndrome","Haematological malignancies",""
"Xa0SB","Large granular lymphocytic leukaemia","Haematological malignancies",""
"Xa0SD","B-cell acute lymphoblastic leukaemia","Haematological malignancies",""
"Xa0SF","Common acute lymphoblastic leukaemia","Haematological malignancies",""
"Xa0SJ","Monoclonal gammopathy of uncertain significance","Haematological malignancies",""
"Xa0Sk","Acute myeloblastic leukaemia","Haematological malignancies",""
"Xa0SL","Light chain myeloma","Haematological malignancies",""
"Xa0SN","Non-secretory myeloma","Haematological malignancies",""
"Xa0So","Acute myelofibrosis","Haematological malignancies",""
"Xa0St","Hodgkin's disease, lymphocytic predominance - nodular","Haematological malignancies",""
"Xa0Sy","B-cell lymphoma","Haematological malignancies",""
"Xa0SY","Myelodysplastic syndrome","Haematological malignancies",""
"Xa0Sz","Cutaneous/peripheral T-cell lymphoma","Haematological malignancies",""
"Xa0T1","Low grade B-cell lymphoma","Haematological malignancies",""
"Xa0T2","Diffuse low grade B-cell lymphoma","Haematological malignancies",""
"Xa0T3","High grade B-cell lymphoma","Haematological malignancies",""
"Xa0T4","Follicular low grade B-cell lymphoma","Haematological malignancies",""
"Xa0T8","Mucosa-associated lymphoma","Haematological malignancies",""
"Xa0TD","Follicular malignant lymphoma - small cleaved cell","Haematological malignancies",""
"Xa0TE","Diffuse high grade B-cell lymphoma","Haematological malignancies",""
"Xa0TG","Diffuse malignant lymphoma - large cell","Haematological malignancies",""
"Xa0Th","Peripheral T-cell lymphoma","Haematological malignancies",""
"Xa0Ti","T-zone lymphoma","Haematological malignancies",""
"Xa0TP","Malignant lymphoma - lymphoblastic","Haematological malignancies",""
"Xa0TS","Large cell anaplastic lymphoma","Haematological malignancies",""
"Xa0TZ","High grade T-cell lymphoma","Haematological malignancies",""
"Xa0U5","Malignant lymphoma of testis","Haematological malignancies",""
"Xa36a","IgA myeloma","Haematological malignancies",""
"Xa36b","IgG myeloma","Haematological malignancies",""
"Xa8Jb","T-cell lymphoma","Haematological malignancies",""
"Xa99k","Malignant lymphoma","Haematological malignancies",""
"Xa99l","Malignant lymphoma - small lymphocytic","Haematological malignancies",""
"Xa9AA","Plasmacytoma - disorder","Haematological malignancies",""
