"Code","Description","Condition","Sub-condition"
"14G1.","H/O: rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"A993.","Reiter's disease","Inflammatory arthritis and other inflammatory conditions","Postinfective and reactive arthropathies"
"F3712","Polyneuropathy in rheumatoid arthritis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"G5yA.","Rheumatoid carditis","Inflammatory arthritis and other inflammatory conditions","Rheumatoid Arthritis"
"H57y4","Lung disease with systemic lupus erythematosus","Inflammatory arthritis and other inflammatory conditions","Lupus erythematosus (local and systemic)"
"M154.","Lupus erythematosus","Inflammatory arthritis and other inflammatory conditions","Lupus erythematosus (local and systemic)"
"M1542","Lupus erythematosus migrans","Inflammatory arthritis and other inflammatory conditions","Lupus erythematosus (local and systemic)"
"M1543","Lupus erythematosus nodularis","Inflammatory arthritis and other inflammatory conditions","Lupus erythematosus (local and systemic)"
"M1544","Lupus erythematosus profundus","Inflammatory arthritis and other inflammatory conditions","Lupus erythematosus (local and systemic)"
"M154z","Lupus erythematosus NOS","Inflammatory arthritis and other inflammatory conditions","Lupus erythematosus (local and systemic)"
"M160.","Psoriatic arthritis","Inflammatory arthritis and other inflammatory conditions","Psoriatic arthropathy"
"M1600","Psoriatic arthritis with spine involvement","Inflammatory arthritis and other inflammatory conditions","Psoriatic arthropathy"
"M160z","Psoriatic arthropathy NOS","Inflammatory arthritis and other inflammatory conditions","Psoriatic arthropathy"
"N000.","Systemic lupus erythematosus","Inflammatory arthritis and other inflammatory conditions","Lupus erythematosus (local and systemic)"
"N000z","Systemic lupus erythematosus NOS","Inflammatory arthritis and other inflammatory conditions","Lupus erythematosus (local and systemic)"
"N001.","Scleroderma (& [acrosclerosis] or [systemic sclerosis])","Inflammatory arthritis and other inflammatory conditions","Systemic sclerosis"
"N011.","Arthropathy: [sexually acquired reactive] or [in nonspecific urethritis] or [in Reiter's disease]","Inflammatory arthritis and other inflammatory conditions","Postinfective and reactive arthropathies"
"N011x","Sexually acquired reactive arthropathy of multiple sites","Inflammatory arthritis and other inflammatory conditions","Postinfective and reactive arthropathies"
"N013.","Post-dysenteric reactive arthropathy (AND/OR [?enteropathic arthritis])","Inflammatory arthritis and other inflammatory conditions","Postinfective and reactive arthropathies"
"N0130","Post-dysenteric reactive arthropathy of unspecified site","Inflammatory arthritis and other inflammatory conditions","Postinfective and reactive arthropathies"
"N013x","Post-dysenteric reactive arthropathy of multiple sites","Inflammatory arthritis and other inflammatory conditions","Postinfective and reactive arthropathies"
"N015.","Arthropathy associated with other viral diseases","Inflammatory arthritis and other inflammatory conditions","Postinfective and reactive arthropathies"
"N015x","Arthropathy associated with other viral disease, of multiple sites","Inflammatory arthritis and other inflammatory conditions","Postinfective and reactive arthropathies"
