"Code","Description","Condition","Sub-condition"
"XE18j","Age-related macular degeneration","Macular degeneration","Macular degeneration"
"XE15y","Degeneration of macula due to cyst, hole or pseudohole","Macular degeneration","Macular degeneration"
"XE15x","Degeneration of macula and posterior pole","Macular degeneration","Macular degeneration"
"XaE5J","Myopic macular degeneration","Macular degeneration","Macular degeneration"
"XaE5j","Macular dystrophy","Macular degeneration","Macular degeneration"
"XaE5d","Ischaemic maculopathy","Macular degeneration","Macular degeneration"
"Xa9BN","Macular degeneration","Macular degeneration","Macular degeneration"
"Xa05T","Hereditary macular dystrophy","Macular degeneration","Macular degeneration"
"X75mb","Atrophic macular change","Macular degeneration","Macular degeneration"
"X00dr","Pattern dystrophy of macula","Macular degeneration","Macular degeneration"
"X00dq","Bull's eye macular dystrophy","Macular degeneration","Macular degeneration"
"F4305","Macular focal chorioretinitis","Macular degeneration","Macular degeneration"
"F427C","Vitelliform macular dystrophy","Macular degeneration","Macular degeneration"
"F425z","Degeneration of macula or posterior pole NOS","Macular degeneration","Macular degeneration"
"F4256","Cellophane maculopathy","Macular degeneration","Macular degeneration"
"F4255","Toxic maculopathy","Macular degeneration","Macular degeneration"
"F4254","Degeneration of macular due to cyst &/or hole &/or pseudohole","Macular degeneration","Macular degeneration"
"F4252","Subretinal neovascularisation of macula","Macular degeneration","Macular degeneration"
"F4251","Atrophic age-related macular degeneration","Macular degeneration","Macular degeneration"
"F4250","Unspecified senile macular degeneration","Macular degeneration","Macular degeneration"
"F425.","(Degeneration of macula and posterior pole) or (senile macular degeneration)","Macular degeneration","Macular degeneration"
"F4241","Central serous retinopathy","Macular degeneration","Macular degeneration"
