"Code","Description","Condition","Sub-condition"
"N330.","Osteoporosis","Osteoporosis and vertebral crush fractures",""
"N3300","Osteoporosis, unspecified","Osteoporosis and vertebral crush fractures",""
"N3301","Senile osteoporosis","Osteoporosis and vertebral crush fractures",""
"N3302","Postmenopausal osteoporosis","Osteoporosis and vertebral crush fractures",""
"N3303","Idiopathic generalised osteoporosis","Osteoporosis and vertebral crush fractures",""
"N3304","Disuse osteoporosis","Osteoporosis and vertebral crush fractures",""
"N3305","Drug-induced osteoporosis","Osteoporosis and vertebral crush fractures",""
"N3306","Postoophorectomy osteoporosis","Osteoporosis and vertebral crush fractures",""
"N330A","Osteoporosis in endocrine disorders","Osteoporosis and vertebral crush fractures",""
"N330B","Vertebral osteoporosis","Osteoporosis and vertebral crush fractures",""
"N330z","Osteoporosis NOS","Osteoporosis and vertebral crush fractures",""
"N3315","Drug-induced osteoporosis with pathological fracture","Osteoporosis and vertebral crush fractures",""
"N3318","Osteoporosis with pathological fracture of lumbar vertebrae","Osteoporosis and vertebral crush fractures",""
"N3319","Osteoporosis with pathological fracture of thoracic vertebrae","Osteoporosis and vertebral crush fractures",""
"N331A","Osteoporosis with pathological fracture of cervical vertebrae","Osteoporosis and vertebral crush fractures",""
"N331B","Postmenopausal osteoporosis with pathological fracture","Osteoporosis and vertebral crush fractures",""
"N3746","Osteoporotic kyphosis","Osteoporosis and vertebral crush fractures",""
"NyuB0","[X]Other osteoporosis with pathological fracture","Osteoporosis and vertebral crush fractures",""
"NyuB1","[X]Other osteoporosis","Osteoporosis and vertebral crush fractures",""
"NyuB8","[X]Unspecified osteoporosis with pathological fracture","Osteoporosis and vertebral crush fractures",""
"S100H","Closed fracture cervical vertebra, wedge","Osteoporosis and vertebral crush fractures",""
"S1021","Closed fracture thoracic vertebra, wedge","Osteoporosis and vertebral crush fractures",""
"S1041","Closed fracture lumbar vertebra, wedge","Osteoporosis and vertebral crush fractures",""
"S1060","Closed compression fracture sacrum","Osteoporosis and vertebral crush fractures",""
"X70Av","Secondary generalised osteoporosis","Osteoporosis and vertebral crush fractures",""
"X70Aw","Regional migrating osteoporosis","Osteoporosis and vertebral crush fractures",""
"X70CK","Osteoporotic vertebral collapse","Osteoporosis and vertebral crush fractures",""
"X70CL","Collapse of vertebra NOS","Osteoporosis and vertebral crush fractures",""
"Xa0AZ","Primary osteoporosis","Osteoporosis and vertebral crush fractures",""
"Xa1k0","Regional osteoporosis","Osteoporosis and vertebral crush fractures",""
"XaBMQ","Pathological fracture of cervical vertebra","Osteoporosis and vertebral crush fractures",""
"XaBMR","Collapsed vertebra NOS","Osteoporosis and vertebral crush fractures",""
"XaBZR","Collapse of thoracic vertebra","Osteoporosis and vertebral crush fractures",""
"XaBZS","Collapse of cervical vertebra","Osteoporosis and vertebral crush fractures",""
"XaBZT","Collapse of lumbar vertebra","Osteoporosis and vertebral crush fractures",""
"XaC12","Osteoporosis localised to spine","Osteoporosis and vertebral crush fractures",""
"XaD4I","Collapse of lumbar vertebra due to osteoporosis","Osteoporosis and vertebral crush fractures",""
"XaD4J","Collapse of thoracic vertebra due to osteoporosis","Osteoporosis and vertebral crush fractures",""
"XaD4K","Collapse of vertebra due to osteoporosis NOS","Osteoporosis and vertebral crush fractures",""
"XaIIp","Fragility fracture due to unspecified osteoporosis","Osteoporosis and vertebral crush fractures",""
"XaIP4","Osteoporosis due to corticosteroids","Osteoporosis and vertebral crush fractures",""
"XaISd","Osteoporosis monitoring","Osteoporosis and vertebral crush fractures",""
"XaISR","Refuses osteoporosis monitoring","Osteoporosis and vertebral crush fractures",""
"XaISS","Osteoporosis monitoring default","Osteoporosis and vertebral crush fractures",""
"XaIST","Osteoporosis monitoring first letter","Osteoporosis and vertebral crush fractures",""
"XaISU","Osteoporosis monitoring second letter","Osteoporosis and vertebral crush fractures",""
"XaISX","Osteoporosis monitoring telephone invitation","Osteoporosis and vertebral crush fractures",""
"XaISZ","Osteoporosis monitoring check done","Osteoporosis and vertebral crush fractures",""
"XaITb","Lumbar DXA scan result osteoporotic","Osteoporosis and vertebral crush fractures",""
"XaITW","Hip DXA scan result osteoporotic","Osteoporosis and vertebral crush fractures",""
"XaNSP","Fragility fracture","Osteoporosis and vertebral crush fractures",""
"XaPE2","Femoral neck DEXA scan result osteoporotic","Osteoporosis and vertebral crush fractures",""
"XaQgT","History of osteoporosis","Osteoporosis and vertebral crush fractures",""
"XaQRT","Bone sparing drug treatment offered for osteoporosis","Osteoporosis and vertebral crush fractures",""
"XE2Qe","Pathological fracture of thoracic vertebra","Osteoporosis and vertebral crush fractures",""
"XE2Qf","Pathological fracture of lumbar vertebra","Osteoporosis and vertebral crush fractures",""
