"Code","Description","Condition","Sub-condition"
"14C1.","H/O: peptic ulcer (& [duodenal] or [gastric])","Peptic ulcer disease","Peptic ulcer disease"
"761J.","Gastric ulcer operation","Peptic ulcer disease","Peptic ulcer disease"
"761J0","Closure of perforated gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"761Jy","Other specified operation on gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"7627.","Duodenal ulcer operation","Peptic ulcer disease","Peptic ulcer disease"
"76270","Closure of perforated duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"76271","Suture of duodenal ulcer not elsewhere classified","Peptic ulcer disease","Peptic ulcer disease"
"7627y","Other specified operation on duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"7627z","Operation on duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J11..","Gastric ulcer (& [prepyloric] or [pyloric])","Peptic ulcer disease","Peptic ulcer disease"
"J110.","Acute gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J1100","Acute gastric ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J1101","Acute gastric ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J1102","Acute gastric ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J110y","Acute gastric ulcer unspecified","Peptic ulcer disease","Peptic ulcer disease"
"J110z","Acute gastric ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J111.","Chronic gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J1111","Chronic gastric ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J1112","Chronic gastric ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J111z","Chronic gastric ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J11y.","Unspecified gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J11y0","Unspecified gastric ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J11y1","Unspecified gastric ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J11y2","Unspecified gastric ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J11z.","Gastric: [erosions] or [multiple ulcers] or [ulcer NOS]","Peptic ulcer disease","Peptic ulcer disease"
"J12..","Duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J120.","Acute duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J1200","Acute duodenal ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J1201","Acute duodenal ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J1202","Acute duodenal ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J120y","Acute duodenal ulcer unspecified","Peptic ulcer disease","Peptic ulcer disease"
"J120z","Acute duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J121.","Chronic duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J1210","Chronic duodenal ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J1211","Chronic duodenal ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J1212","Chronic duodenal ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J1214","Chronic duodenal ulcer with obstruction","Peptic ulcer disease","Peptic ulcer disease"
"J121y","Chronic duodenal ulcer unspecified","Peptic ulcer disease","Peptic ulcer disease"
"J121z","Chronic duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J124.","Recurrent duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J12y.","Unspecified duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J12y0","Unspecified duodenal ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J12y1","Unspecified duodenal ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J12y2","Unspecified duodenal ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J12yz","Unspecified duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J12z.","Duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J13..","Ulcer: [peptic (PU) site unspecified] or [stress NOS]","Peptic ulcer disease","Peptic ulcer disease"
"J130.","Acute peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J1300","Acute peptic ulcer without mention of complication","Peptic ulcer disease","Peptic ulcer disease"
"J1301","Acute peptic ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J1302","Acute peptic ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J130y","Acute peptic ulcer unspecified","Peptic ulcer disease","Peptic ulcer disease"
"J130z","Acute peptic ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J131.","Chronic peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J1311","Chronic peptic ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J131y","Chronic peptic ulcer unspecified","Peptic ulcer disease","Peptic ulcer disease"
"J131z","Chronic peptic ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J13y.","Unspecified peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"J13y2","Unspecified peptic ulcer with perforation","Peptic ulcer disease","Peptic ulcer disease"
"J13yz","Unspecified peptic ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J13z.","Peptic ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J1411","Chronic gastrojejunal ulcer with haemorrhage","Peptic ulcer disease","Peptic ulcer disease"
"J14z.","Gastrojejunal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"J17y8","Healed gastric ulcer leaving a scar","Peptic ulcer disease","Peptic ulcer disease"
"X20Vu","Oversewing perforated duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"X301E","Acute peptic ulcer of stomach","Peptic ulcer disease","Peptic ulcer disease"
"X301F","Acute drug-induced ulcer of stomach","Peptic ulcer disease","Peptic ulcer disease"
"X301o","Perforation of gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"X302a","Healed gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"X302b","Duodenal ulcer disease","Peptic ulcer disease","Peptic ulcer disease"
"X302B","Stress ulcer of duodenum","Peptic ulcer disease","Peptic ulcer disease"
"X302c","Peptic ulcer of duodenum","Peptic ulcer disease","Peptic ulcer disease"
"X302Q","Perforation of duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"X302X","Peptic ulcer of stomach","Peptic ulcer disease","Peptic ulcer disease"
"X30Bg","Bleeding gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"X30Bh","Bleeding duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"Xa1qA","Anastomotic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"Xa1qB","Jejunal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"Xa1qC","Gastrocolic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"Xa6ot","Prepyloric gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"Xa84h","Pyloric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaB8q","Oversewing of bleeding duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaB8s","Oversewing of bleeding gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaBmb","Bleeding peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaCLu","[V] Personal history of gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaELE","Multiple gastric ulcers","Peptic ulcer disease","Peptic ulcer disease"
"XaFBq","Endoscopic injection haemostasis of duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaLdV","Oversew of blood vessel of duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaMO5","Non steroidal anti inflammatory drug induced gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaMO6","Non steroidal anti inflammatory drug induced gastric ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"XaMO7","Non steroidal anti inflammatory drug induced duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XaMO8","Non steroidal anti inflammatory drug induced duodenal ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"XE0aP","Gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XE0aQ","Gastric ulcer NOS","Peptic ulcer disease","Peptic ulcer disease"
"XE0aR","Peptic ulcer - (PU) site unspecified","Peptic ulcer disease","Peptic ulcer disease"
"XE0c3","Ulcer: [peptic NOS] or [gastrojejunal] or [stomal] or [anastomotic]","Peptic ulcer disease","Peptic ulcer disease"
"XE0c5","Perforated peptic ulcer (& [acute PU])","Peptic ulcer disease","Peptic ulcer disease"
"XE0qB","H/O: peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XM0BZ","Peptic ulcer disease","Peptic ulcer disease","Peptic ulcer disease"
"XM0sI","Perforated peptic ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XM1RN","H/O: duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"XM1RO","H/O: gastric ulcer","Peptic ulcer disease","Peptic ulcer disease"
"ZV127","[V] Personal history of digestive system disease (& [peptic ulcer (& [duodenal])])","Peptic ulcer disease","Peptic ulcer disease"
