"Code","Description","Condition","Sub-condition"
"XE2sp","Neuropathic arthropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"XE18P","Drug &/or toxic polyneuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"XE18L","Neuropathy: [peripheral] or [polyneuropathy]","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"XE15m","Toxic or inflammatory neuropathy NOS","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"XE15j","Inflammatory and toxic neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"XC0eJ","Neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"XaBmi","Charcot's joint of foot","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"XaB3q","Polyneuropathy unspecified","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"Xa7m5","Polyneuritis","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X702P","Charcot's arthropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X40Pp","Familial amyloid polyneuropathy type II","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00CI","Chronic idiopathic ataxic neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00CH","Axonal sensorimotor neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00CG","Demyelinating sensorimotor neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00CF","Idiopathic chronic neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00BG","Toxic neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00B2","Critical illness polyneuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00B1","Anoxic neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00Ay","Motor neuropathy with multiple conduction block","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00Ax","Neuropathy in benign monoclonal gammopathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00AX","Chronic inflammatory demyelinating polyradiculoneuropathy with central nervous system demyelination","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00AW","Chronic inflammatory demyelinating polyradiculoneuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00AV","Miller-Fisher variant of Guillain-Barre syndrome","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00AU","Inflammatory neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00Ao","Myxoedema neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00AO","Giant axonal neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00AA","Hereditary motor and sensory neuropathy type II","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00Aa","Neuropathy due to deficiency syndrome","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00A9","Hereditary motor and sensory neuropathy type I","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"X00A8","Peripheral neuropathy - hereditary or idiopathic","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"N035.","Neuropathic arthropathy (& Charcot's)","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"Fyu7C","[X]Polyneuropathy, unspecified","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"Fyu7B","[X]Inflammatory polyneuropathy, unspecified","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"Fyu72","[X]Other specified polyneuropathies","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"Fyu71","[X]Other inflammatory polyneuropathies","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"Fyu7.","[X]Polyneuropathies and other disorders of the peripheral nervous system","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"Fyu13","[X]Paraneoplastic neuromyopathy and neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F37z.","(Toxic or inflammatory neuropathy NOS) or (polyneuropathy unspecified)","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F37y.","Other toxic or inflammatory neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F376.","Drug-related polyneuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F375.","Alcohol-related polyneuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3749","Sarcoid neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3744","Polyneuropathy in herpes zoster","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3742","Polyneuropathy in vitamin B deficiency","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3712","Polyneuropathy in rheumatoid arthritis","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F371.","Polyneuropathy in collagen vascular disease","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3700","Guillain-Barre syndrome","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F370.","Acute infective polyneuritis","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F36z.","Hereditary or idiopathic peripheral neuropathy NOS","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F36yz","Other idiopathic peripheral neuropathy NOS","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F36y.","Other idiopathic peripheral neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F366.","Polyneuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F362.","Hereditary sensory neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F3610","Hereditary motor and sensory neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F360z","Hereditary peripheral neuropathy NOS","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"F36..","Hereditary and idiopathic peripheral neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
