"Code","Description","Condition","Sub-condition"
"AD5..","Sarcoidosis","Sarcoidosis","Sarcoidosis"
"AD52.","Sarcoidosis of lung with sarcoidosis of lymph nodes","Sarcoidosis","Sarcoidosis"
"Cyu06","[X]Sarcoidosis of other and combined sites","Sarcoidosis","Sarcoidosis"
"F3749","Sarcoid neuropathy","Sarcoidosis","Sarcoidosis"
"G5583","Sarcoid heart muscle disease","Sarcoidosis","Sarcoidosis"
"H57y2","Pulmonary sarcoidosis","Sarcoidosis","Sarcoidosis"
"J63A.","Hepatic granulomas in sarcoidosis","Sarcoidosis","Sarcoidosis"
"X1043","Stage 1 pulmonary sarcoidosis","Sarcoidosis","Sarcoidosis"
"X1044","Stage 2 pulmonary sarcoidosis","Sarcoidosis","Sarcoidosis"
"X206f","Lymph node sarcoidosis","Sarcoidosis","Sarcoidosis"
"X20G4","Arthritis secondary to sarcoidosis","Sarcoidosis","Sarcoidosis"
"X20GW","Cutaneous sarcoid","Sarcoidosis","Sarcoidosis"
"X20GY","Lupus pernio","Sarcoidosis","Sarcoidosis"
"XaCL7","Sarcoidosis of inferior turbinates","Sarcoidosis","Sarcoidosis"
