"Code","Description","Condition","Sub-condition"
"Fy03.","Sleep apnoea (& [obstructive])","Sleep apnoea","Sleep apnoea"
"R0051","[D]Insomnia with sleep apnoea","Sleep apnoea","Sleep apnoea"
"R0053","([D]Hypersomnia with sleep apnoea) or (sleep apnoea syndrome)","Sleep apnoea","Sleep apnoea"
"X0083","Sleep apnoea","Sleep apnoea","Sleep apnoea"
"X0084","Obstructive sleep apnoea","Sleep apnoea","Sleep apnoea"
"X0085","Central sleep apnoea","Sleep apnoea","Sleep apnoea"
"X0086","Mixed sleep apnoea","Sleep apnoea","Sleep apnoea"
"X20L9","Take impression for sleep apnoea appliance","Sleep apnoea","Sleep apnoea"
"X40YR","Pickwickian syndrome","Sleep apnoea","Sleep apnoea"
"XaEGP","[D]Sleep apnoea syndrome","Sleep apnoea","Sleep apnoea"
"XE2nU","[D]Hypersomnia with sleep apnoea","Sleep apnoea","Sleep apnoea"
"XM0Go","Appliance for sleep apnoea","Sleep apnoea","Sleep apnoea"
