"Code","Description","Condition","Sub-condition"
"5136.","X-ray metastasis control","Solid organ malignancies",""
"14250","H/O Malignant melanoma","Solid organ malignancies",""
"7G03J","Excision of melanoma","Solid organ malignancies",""
"A7895","HIV disease resulting in Kaposi's sarcoma","Solid organ malignancies",""
"B0...","Malignant neoplasm: [lip] or [oral cavity] or [pharynx]","Solid organ malignancies",""
"B0000","Malignant neoplasm of upper lip, external","Solid organ malignancies",""
"B01..","Malignant tumour of tongue","Solid organ malignancies",""
"B010.","Malignant tumour of base of tongue","Solid organ malignancies",""
"B012.","Malignant neoplasm of tongue, tip and lateral border","Solid organ malignancies",""
"B016.","Malignant tumour of lingual tonsil","Solid organ malignancies",""
"B01z.","Malignant neoplasm of tongue NOS","Solid organ malignancies",""
"B02..","Malignant tumour of major salivary gland","Solid organ malignancies",""
"B020.","Malignant tumour of parotid gland","Solid organ malignancies",""
"B021.","Malignant tumour of submandibular gland","Solid organ malignancies",""
"B03..","Malignant tumour of gum","Solid organ malignancies",""
"B03y.","Malignant neoplasm of other sites of gum","Solid organ malignancies",""
"B04..","Malignant tumour of floor of mouth","Solid organ malignancies",""
"B040.","Malignant tumour of anterior floor of mouth","Solid organ malignancies",""
"B05..","Malignant neoplasm of other and unspecified parts of mouth","Solid organ malignancies",""
"B050.","Malignant tumour of buccal mucosa","Solid organ malignancies",""
"B053.","Malignant tumour of soft palate","Solid organ malignancies",""
"B0551","Malignant tumour of palate","Solid organ malignancies",""
"B056.","Malignant tumour of retromolar area","Solid organ malignancies",""
"B05z.","Malignant neoplasm of mouth NOS","Solid organ malignancies",""
"B06..","Malignant tumour of oropharynx","Solid organ malignancies",""
"B060.","Malignant tumour of tonsil","Solid organ malignancies",""
"B060z","Malignant neoplasm tonsil NOS","Solid organ malignancies",""
"B061.","Malignant tumour of tonsillar fossa","Solid organ malignancies",""
"B062.","Malignant tumour of tonsillar pillar","Solid organ malignancies",""
"B06z.","Malignant neoplasm of oropharynx NOS","Solid organ malignancies",""
"B07..","Malignant tumour of nasopharynx","Solid organ malignancies",""
"B071.","Malignant tumour of posterior wall of nasopharynx","Solid organ malignancies",""
"B0710","Malignant tumour of adenoid","Solid organ malignancies",""
"B0720","Malignant tumour of pharyngeal recess","Solid organ malignancies",""
"B08..","Malignant tumour of hypopharynx","Solid organ malignancies",""
"B081.","Malignant tumour of pyriform fossa","Solid organ malignancies",""
"B08z.","Malignant neoplasm of hypopharynx NOS","Solid organ malignancies",""
"B0z..","Malignant neoplasm of other and ill-defined sites within the lip, oral cavity and pharynx","Solid organ malignancies",""
"B0z0.","Malignant neoplasm of pharynx unspecified","Solid organ malignancies",""
"B0zz.","Malignant neoplasm of lip, oral cavity and pharynx NOS","Solid organ malignancies",""
"B1...","Malignant neoplasm of digestive organs and peritoneum (& [carcinoma])","Solid organ malignancies",""
"B10..","Malignant tumour of oesophagus","Solid organ malignancies",""
"B100.","Malignant tumour of cervical part of oesophagus","Solid organ malignancies",""
"B101.","Malignant tumour of thoracic part of oesophagus","Solid organ malignancies",""
"B103.","Malignant tumour of upper third of oesophagus","Solid organ malignancies",""
"B104.","Malignant tumour of middle third of oesophagus","Solid organ malignancies",""
"B105.","Malignant tumour of lower third of oesophagus","Solid organ malignancies",""
"B106.","Malignant neoplasm, overlapping lesion of oesophagus","Solid organ malignancies",""
"B10z.","(Malignant neoplasm of oesophagus NOS or oesophageal cancer","Solid organ malignancies",""
"B110.","Malignant tumour of cardia","Solid organ malignancies",""
"B1100","Malignant neoplasm of cardiac orifice of stomach","Solid organ malignancies",""
"B1101","Malignant neoplasm of cardio-oesophageal junction of stomach","Solid organ malignancies",""
"B110z","Malignant neoplasm of cardia of stomach NOS","Solid organ malignancies",""
"B111.","Malignant tumour of pylorus","Solid organ malignancies",""
"B111z","Malignant neoplasm of pylorus of stomach NOS","Solid organ malignancies",""
"B112.","Malignant tumour of pyloric antrum","Solid organ malignancies",""
"B114.","Malignant tumour of body of stomach","Solid organ malignancies",""
"B115.","Malignant neoplasm of lesser curve of stomach unspecified","Solid organ malignancies",""
"B116.","Malignant neoplasm of greater curve of stomach unspecified","Solid organ malignancies",""
"B11z.","Malignant neoplasm of stomach NOS","Solid organ malignancies",""
"B12..","Malignant neoplasm of small intestine and duodenum","Solid organ malignancies",""
"B120.","Malignant tumour of duodenum","Solid organ malignancies",""
"B121.","Malignant tumour of jejunum","Solid organ malignancies",""
"B122.","Malignant tumour of ileum","Solid organ malignancies",""
"B12z.","Malignant neoplasm of small intestine NOS","Solid organ malignancies",""
"B13..","Malignant tumour of colon","Solid organ malignancies",""
"B130.","Malignant tumour of hepatic flexure","Solid organ malignancies",""
"B131.","Malignant tumour of transverse colon","Solid organ malignancies",""
