"Code","Description","Condition","Sub-condition"
"G600.","Ruptured berry aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G601.","Subarachnoid haemorrhage from carotid siphon and bifurcation","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"G60z.","Subarachnoid haemorrhage NOS","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Gyu60","[X]Subarachnoid haemorrhage from other intracranial arteries","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Gyu61","[X]Other subarachnoid haemorrhage","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Gyu6E","[X]Subarachnoid haemorrhage from intracranial artery, unspecified","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"S6201","Subarachnoid haemorrhage following injury without mention of open intracranial wound, with no loss of consciousness","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"X00Dg","Subarachnoid haemorrhage due to ruptured aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Xa01c","Subarachnoid haemorrhage from anterior cerebral artery aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Xa01h","Subarachnoid haemorrhage from middle cerebral artery aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Xa01i","Subarachnoid haemorrhage from posterior cerebral artery aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Xa01j","Subarachnoid haemorrhage from anterior communicating artery aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Xa01k","Subarachnoid haemorrhage from posterior communicating artery aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Xa01l","Subarachnoid haemorrhage from basilar artery aneurysm","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Xa0N7","Angiogram-negative subarachnoid haemorrhage","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"Xa1uW","Subarachnoid haemorrhage","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
"XE2bF","Spontaneous subarachnoid haemorrhage","Subarachnoid haemorrhage","Subarachnoid haemorrhage"
