"Code","Description","Condition","Sub-condition"
"1431.","H/O: hyperthyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"1432.","H/O: hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"1433.","H/O: thyroid disorder NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"66B4.","Thyroid eye disease (&monitoring)","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"66B9.","Thyroid disease treatment started (& [thyroxine])","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"66BA.","Thyroid dis treatment stopped (& thyroxine)","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C0...","(Disorders of thyroid gland) or (struma - goitre)","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02..","([Thyrotoxicosis] or [hyperthyroidism]) or (toxic goitre)","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C020.","Toxic diffuse goitre (& [Basedow's disease] or [Graves' disease])","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C0200","Toxic diffuse goitre with no crisis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C0201","Toxic diffuse goitre with crisis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C020z","Toxic diffuse goitre NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C021.","Toxic uninodular goitre","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C022.","Toxic multinodular goitre","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C022z","Toxic multinodular goitre NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C023.","Toxic nodular goitre unspecified","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C023z","Toxic nodular goitre NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02z.","Thyrotoxicosis without mention of goitre or other cause","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02z0","Thyrotoxicosis without mention of goitre or other cause with no crisis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C02zz","Thyrotoxicosis NOS","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C03..","Congenital hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C03y.","Other specified congenital hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C04..","Hypothyroidism: &/or (acquired)","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"C040.","Hypothyroidism: [postsurgical] or [post ablative]","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
