"Code","Description","Condition","Sub-condition","Diagnosis"
"7L100","Continuous subcutaneous infusion of insulin","Type 1 diabetes","Type 1 diabetes","N"
"C1000","Diabetes mellitus: [juvenile type, with no mention of complication] or [insulin dependent]","Type 1 diabetes","Type 1 diabetes","N"
"C1010","Type 1 diabetes mellitus with ketoacidosis","Type 1 diabetes","Type 1 diabetes","Y"
"C1030","Type 1 diabetes mellitus with ketoacidotic coma","Type 1 diabetes","Type 1 diabetes","Y"
"C1080","Type I diabetes mellitus with renal complications","Type 1 diabetes","Type 1 diabetes","Y"
"C1081","Type I diabetes mellitus with ophthalmic complications","Type 1 diabetes","Type 1 diabetes","Y"
"C1083","Type I diabetes mellitus with multiple complications","Type 1 diabetes","Type 1 diabetes","Y"
"C1085","Type I diabetes mellitus with ulcer","Type 1 diabetes","Type 1 diabetes","Y"
"C1087","Type I diabetes mellitus with retinopathy","Type 1 diabetes","Type 1 diabetes","Y"
"C1088","Type I diabetes mellitus - poor control","Type 1 diabetes","Type 1 diabetes","Y"
"C1089","Type I diabetes mellitus maturity onset","Type 1 diabetes","Type 1 diabetes","Y"
"X40J4","Type I diabetes mellitus","Type 1 diabetes","Type 1 diabetes","Y"
"Xa2h9","Dietary advice for type I diabetes","Type 1 diabetes","Type 1 diabetes","N"
"Xa4g7","Unstable type I diabetes mellitus","Type 1 diabetes","Type 1 diabetes","Y"
"XaELP","Type I diabetes mellitus without complication","Type 1 diabetes","Type 1 diabetes","Y"
"XaEno","Type I diabetes mellitus with polyneuropathy","Type 1 diabetes","Type 1 diabetes","Y"
"XaF04","Type I diabetes mellitus with nephropathy","Type 1 diabetes","Type 1 diabetes","Y"
"XaFm8","Type I diabetes mellitus with diabetic cataract","Type 1 diabetes","Type 1 diabetes","Y"
"XaFmL","Type I diabetes mellitus with arthropathy","Type 1 diabetes","Type 1 diabetes","Y"
"XaFmM","Type I diabetes mellitus with neuropathic arthropathy","Type 1 diabetes","Type 1 diabetes","Y"
"XaFWG","Type I diabetes mellitus with hypoglycaemic coma","Type 1 diabetes","Type 1 diabetes","Y"
"XaIzM","Type 1 diabetes mellitus with persistent proteinuria","Type 1 diabetes","Type 1 diabetes","Y"
"XaIzN","Type 1 diabetes mellitus with persistent microalbuminuria","Type 1 diabetes","Type 1 diabetes","Y"
"XaJSr","Type 1 diabetes mellitus with exudative maculopathy","Type 1 diabetes","Type 1 diabetes","Y"
"XaKyW","Type 1 diabetes mellitus with gastroparesis","Type 1 diabetes","Type 1 diabetes","Y"
"XaMhJ","Diabetes type 1 review","Type 1 diabetes","Type 1 diabetes","N"
"XaX3p","Type I diabetic dietary review","Type 1 diabetes","Type 1 diabetes","N"
"XaX49","Referral to type I diabetes structured education programme","Type 1 diabetes","Type 1 diabetes","N"
"XaXZv","H/O: diabetes mellitus type 1","Type 1 diabetes","Type 1 diabetes","N"
"XE10E","Diabetes mellitus, juvenile type, with no mention of complication","Type 1 diabetes","Type 1 diabetes","N"
