"Code","Description","Condition","Sub-condition"
"XE0rR","Genuine stress incontinence","Urinary Incontinence","Urinary Incontinence"
"XE0gn","Stress incontinence (& [female])","Urinary Incontinence","Urinary Incontinence"
"X30OP","Urinary incontinence of non-organic origin","Urinary Incontinence","Urinary Incontinence"
"X30ON","Post-micturition incontinence","Urinary Incontinence","Urinary Incontinence"
"X30OL","Urinary sphincter weakness incontinence","Urinary Incontinence","Urinary Incontinence"
"X30OJ","Overflow incontinence of urine","Urinary Incontinence","Urinary Incontinence"
"X30OI","Giggle incontinence of urine","Urinary Incontinence","Urinary Incontinence"
"X30OH","Cough - urge incontinence of urine","Urinary Incontinence","Urinary Incontinence"
"X30C5","Double incontinence","Urinary Incontinence","Urinary Incontinence"
"R083z","[D]Incontinence of urine NOS","Urinary Incontinence","Urinary Incontinence"
"R0832","[D] Urge incontinence","Urinary Incontinence","Urinary Incontinence"
"R0831","[D]Urethral sphincter incontinence","Urinary Incontinence","Urinary Incontinence"
"R083.","[D]Incontinence of urine","Urinary Incontinence","Urinary Incontinence"
"Kyu5A","[X]Other specified urinary incontinence","Urinary Incontinence","Urinary Incontinence"
"K586.","Stress incontinence - female","Urinary Incontinence","Urinary Incontinence"
"1A26.","Urge incontinence of urine","Urinary Incontinence","Urinary Incontinence"
"1A24.","Stress incontinence (& symptom)","Urinary Incontinence","Urinary Incontinence"
"1A23.","Urinary incontinence","Urinary Incontinence","Urinary Incontinence"
"3940.","Bladder: incontinent","Urinary Incontinence","Urinary Incontinence"
"1593.","H/O: stress incontinence","Urinary Incontinence","Urinary Incontinence"
