"Code","Description","Condition","Sub-condition"
"N18.0","End-stage renal disease","Chronic renal disease","End stage renal disease"
"N18.5","Chronic kidney disease, stage 5","Chronic renal disease","End stage renal disease"
"T82.4","Mechanical complication of vascular dialysis catheter","Chronic renal disease","End stage renal disease"
"Y60.2","During kidney dialysis or other perfusion","Chronic renal disease","End stage renal disease"
"Y61.2","During kidney dialysis or other perfusion","Chronic renal disease","End stage renal disease"
"Y84.1","Kidney dialysis","Chronic renal disease","End stage renal disease"
"Z49.1","Extracorporeal dialysis","Chronic renal disease","End stage renal disease"
"Z49.2","Other dialysis","Chronic renal disease","End stage renal disease"
"Z99.2","Dependence on renal dialysis","Chronic renal disease","End stage renal disease"
"N16.5","Renal tubulo-interstitial disorders in transplant rejection","Chronic renal disease","End stage renal disease"
"T86.1","Kidney transplant failure and rejection","Chronic renal disease","End stage renal disease"
"Z94.0","Kidney transplant status","Chronic renal disease","End stage renal disease"
