"Code","Description","Condition","Sub-condition"
"A15","Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculosis","Tuberculosis"
"A16","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculosis","Tuberculosis"
"A17","Tuberculosis of nervous system","Tuberculosis","Tuberculosis"
"A18","Tuberculosis of other organs","Tuberculosis","Tuberculosis"
"A19","Miliary tuberculosis","Tuberculosis","Tuberculosis"
"B20.0","HIV disease resulting in mycobacterial infection","Tuberculosis","Tuberculosis"
"B90","Sequelae of tuberculosis","Tuberculosis","Tuberculosis"
"J65","Pneumoconiosis associated with tuberculosis","Tuberculosis","Tuberculosis"
"K23.0","Tuberculous oesophagitis","Tuberculosis","Tuberculosis"
"K67.3","Tuberculous peritonitis","Tuberculosis","Tuberculosis"
"K93.0","Tuberculous disorders of intestines, peritoneum and mesenteric glands","Tuberculosis","Tuberculosis"
"M01.1","Tuberculous arthritis","Tuberculosis","Tuberculosis"
"M49.0","Tuberculosis of spine","Tuberculosis","Tuberculosis"
"M90.0","Tuberculosis of bone","Tuberculosis","Tuberculosis"
"N33.0","Tuberculous cystitis","Tuberculosis","Tuberculosis"
"N74.0","Tuberculous infection of cervix uteri","Tuberculosis","Tuberculosis"
"N74.1","Female tuberculous pelvic inflammatory disease","Tuberculosis","Tuberculosis"
"P37.0","Congenital tuberculosis","Tuberculosis","Tuberculosis"
