"Code","Description","Condition","Sub-condition"
"N12","Tubulo-interstitial nephritis, not specified as acute or chronic","Chronic renal disease","Tubulo-interstitial nephritis"
"N14.0","Analgesic nephropathy","Chronic renal disease","Tubulo-interstitial nephritis"
"N14.1","Nephropathy induced by other drugs, medicaments and biological substances","Chronic renal disease","Tubulo-interstitial nephritis"
"N14.2","Nephropathy induced by unspecified drug, medicament or biological substance","Chronic renal disease","Tubulo-interstitial nephritis"
"N14.3","Nephropathy induced by heavy metals","Chronic renal disease","Tubulo-interstitial nephritis"
"N14.4","Toxic nephropathy, not elsewhere classified","Chronic renal disease","Tubulo-interstitial nephritis"
"N15.8","Other specified renal tubulo-interstitial diseases","Chronic renal disease","Tubulo-interstitial nephritis"
"N15.9","Renal tubulo-interstitial disease, unspecified","Chronic renal disease","Tubulo-interstitial nephritis"
"N16.1","Renal tubulo-interstitial disorders in neoplastic diseases","Chronic renal disease","Tubulo-interstitial nephritis"
"N16.2","Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism","Chronic renal disease","Tubulo-interstitial nephritis"
"N16.3","Renal tubulo-interstitial disorders in metabolic diseases","Chronic renal disease","Tubulo-interstitial nephritis"
"N16.4","Renal tubulo-interstitial disorders in systemic connective tissue disorders","Chronic renal disease","Tubulo-interstitial nephritis"
"N16.5","Renal tubulo-interstitial disorders in transplant rejection","Chronic renal disease","Tubulo-interstitial nephritis"
"N16.8","Renal tubulo-interstitial disorders in other diseases classified elsewhere","Chronic renal disease","Tubulo-interstitial nephritis"
