"Code","Description","Condition","Sub-condition"
"F10.1","Mental and behavioural disorders due to use of alcohol - Harmful use","Alcohol Problems","Alcohol Problems"
"F10.2","Mental and behavioural disorders due to use of alcohol - Dependence syndrome","Alcohol Problems","Alcohol Problems"
"F10.3","Mental and behavioural disorders due to use of alcohol - Withdrawal state","Alcohol Problems","Alcohol Problems"
"F10.4","Mental and behavioural disorders due to use of alcohol - Withdrawal state with delirium","Alcohol Problems","Alcohol Problems"
"F10.5","Mental and behavioural disorders due to use of alcohol - Psychotic disorder","Alcohol Problems","Alcohol Problems"
"F10.6","Mental and behavioural disorders due to use of alcohol - Amnesic syndrome","Alcohol Problems","Alcohol Problems"
"F10.7","Mental and behavioural disorders due to use of alcohol - Residual and late-onset psychotic disorder","Alcohol Problems","Alcohol Problems"
"F10.8","Mental and behavioural disorders due to use of alcohol - Other mental and behavioural disorders","Alcohol Problems","Alcohol Problems"
"F10.9","Mental and behavioural disorders due to use of alcohol - Unspecified mental and behavioural disorder","Alcohol Problems","Alcohol Problems"
"E24.4","Alcohol-induced pseudo-Cushing's syndrome","Alcohol Problems","Alcohol Problems"
"G31.2","Degeneration of nervous system due to alcohol","Alcohol Problems","Alcohol Problems"
"G62.1","Alcoholic polyneuropathy","Alcohol Problems","Alcohol Problems"
"G72.1","Alcoholic myopathy","Alcohol Problems","Alcohol Problems"
"I42.6","Alcoholic cardiomyopathy","Alcohol Problems","Alcohol Problems"
"K29.2","Alcoholic gastritis","Alcohol Problems","Alcohol Problems"
"K70","Alcoholic liver disease","Alcohol Problems","Alcohol Problems"
"K85.2","Alcohol-induced acute pancreatitis","Alcohol Problems","Alcohol Problems"
"K86.0","Alcohol-induced chronic pancreatitis","Alcohol Problems","Alcohol Problems"
"Z50.2","Alcohol rehabilitation","Alcohol Problems","Alcohol Problems"
"Z71.4","Alcohol abuse counselling and surveillance","Alcohol Problems","Alcohol Problems"
