"Code","Description","Condition","Sub-condition"
"K70.1","Alcoholic hepatitis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K70.2","Alcoholic fibrosis and sclerosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K70.3","Alcoholic cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K71.7","Toxic liver disease with fibrosis and cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K74.0","Hepatic fibrosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K74.1","Hepatic sclerosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K74.2","Hepatic fibrosis with hepatic sclerosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K74.4","Secondary biliary cirrhosis","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K74.5","Biliary cirrhosis, unspecified","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
"K74.6","Other and unspecified cirrhosis of liver","Chronic liver disease","Liver fibrosis, sclerosis and cirrhosis"
