"Code","Description","Condition","Sub-condition"
"G56.1","Other lesions of median nerve","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G56.2","Lesion of ulnar nerve","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G56.3","Lesion of radial nerve","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G56.4","Causalgia","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G56.8","Other mononeuropathies of upper limb","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G56.9","Mononeuropathy of upper limb, unspecified","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G57","Mononeuropathies of lower limb","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G58","Other mononeuropathies","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G59","Mononeuropathy in diseases classified elsewhere","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G60","Hereditary and idiopathic neuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G61","Inflammatory polyneuropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G62","Other polyneuropathies","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G63","Polyneuropathy in diseases classified elsewhere","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"G64","Other disorders of peripheral nervous system","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"M14.6","Neuropathic arthropathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"M49.4","Neuropathic spondylopathy","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
"E85.1","Neuropathic heredofamilial amyloidosis","Peripheral or autonomic neuropathy","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)"
