"Code","Description","Condition","Sub-condition"
"C00","Malignant neoplasm of lip","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C01","Malignant neoplasm of base of tongue","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C02","Malignant neoplasm of other and unspecified parts of tongue","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C03","Malignant neoplasm of gum","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C04","Malignant neoplasm of floor of mouth","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C05","Malignant neoplasm of palate","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C06","Malignant neoplasm of other and unspecified parts of mouth","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C07","Malignant neoplasm of parotid gland","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C08","Malignant neoplasm of other and unspecified major salivary glands","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C09","Malignant neoplasm of tonsil","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C10","Malignant neoplasm of oropharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C11","Malignant neoplasm of nasopharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C12","Malignant neoplasm of piriform sinus","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C13","Malignant neoplasm of hypopharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
"C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","Solid organ malignancies","Primary Malignancy_Oro-pharyngeal"
