"Code","Description","Condition","Sub-condition"
"C17","Malignant neoplasm of small intestine","Solid organ malignancies","Primary Malignancy_Other Organs"
"C23","Malignant neoplasm of gallbladder","Solid organ malignancies","Primary Malignancy_Other Organs"
"C26.0","Malignant neoplasm: Intestinal tract, part unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
"C26.1","Malignant neoplasm: Spleen","Solid organ malignancies","Primary Malignancy_Other Organs"
"C26.8","Malignant neoplasm: Overlapping lesion of digestive system","Solid organ malignancies","Primary Malignancy_Other Organs"
"C26.9","Malignant neoplasm: Ill-defined sites within the digestive system","Solid organ malignancies","Primary Malignancy_Other Organs"
"C30.0","Malignant neoplasm: Nasal cavity","Solid organ malignancies","Primary Malignancy_Other Organs"
"C30.1","Malignant neoplasm: Middle ear","Solid organ malignancies","Primary Malignancy_Other Organs"
"C31","Malignant neoplasm of accessory sinuses","Solid organ malignancies","Primary Malignancy_Other Organs"
"C32","Malignant neoplasm of larynx","Solid organ malignancies","Primary Malignancy_Other Organs"
"C37","Malignant neoplasm of thymus","Solid organ malignancies","Primary Malignancy_Other Organs"
"C38.0","Malignant neoplasm: Heart","Solid organ malignancies","Primary Malignancy_Other Organs"
"C38.1","Malignant neoplasm: Anterior mediastinum","Solid organ malignancies","Primary Malignancy_Other Organs"
"C38.2","Malignant neoplasm: Posterior mediastinum","Solid organ malignancies","Primary Malignancy_Other Organs"
"C38.3","Malignant neoplasm: Mediastinum, part unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
"C38.4","Malignant neoplasm: Pleura","Solid organ malignancies","Primary Malignancy_Other Organs"
"C38.8","Overlapping lesion of heart, mediastinum and pleura","Solid organ malignancies","Primary Malignancy_Other Organs"
"C39.0","Malignant neoplasm: Upper respiratory tract, part unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
"C39.8","Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs","Solid organ malignancies","Primary Malignancy_Other Organs"
"C39.9","Malignant neoplasm: Ill-defined sites within the respiratory system","Solid organ malignancies","Primary Malignancy_Other Organs"
"C46","Kaposi sarcoma","Solid organ malignancies","Primary Malignancy_Other Organs"
"C47","Malignant neoplasm of peripheral nerves and autonomic nervous system","Solid organ malignancies","Primary Malignancy_Other Organs"
"C48","Malignant neoplasm of retroperitoneum and peritoneum","Solid organ malignancies","Primary Malignancy_Other Organs"
"C49","Malignant neoplasm of other connective and soft tissue","Solid organ malignancies","Primary Malignancy_Other Organs"
"C51","Malignant neoplasm of vulva","Solid organ malignancies","Primary Malignancy_Other Organs"
"C52","Malignant neoplasm of vagina","Solid organ malignancies","Primary Malignancy_Other Organs"
"C57","Malignant neoplasm of other and unspecified female genital organs","Solid organ malignancies","Primary Malignancy_Other Organs"
"C58","Malignant neoplasm of placenta","Solid organ malignancies","Primary Malignancy_Other Organs"
"C60","Malignant neoplasm of penis","Solid organ malignancies","Primary Malignancy_Other Organs"
"C63","Malignant neoplasm of other and unspecified male genital organs","Solid organ malignancies","Primary Malignancy_Other Organs"
"C68","Malignant neoplasm of other and unspecified urinary organs","Solid organ malignancies","Primary Malignancy_Other Organs"
"C69","Malignant neoplasm of eye and adnexa","Solid organ malignancies","Primary Malignancy_Other Organs"
"C74","Malignant neoplasm of adrenal gland","Solid organ malignancies","Primary Malignancy_Other Organs"
"C75.0","Malignant neoplasm: Parathyroid gland","Solid organ malignancies","Primary Malignancy_Other Organs"
"C75.8","Malignant neoplasm: Pluriglandular involvement, unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
"C75.9","Malignant neoplasm: Endocrine gland, unspecified","Solid organ malignancies","Primary Malignancy_Other Organs"
"C76","Malignant neoplasm of other and ill-defined sites","Solid organ malignancies","Primary Malignancy_Other Organs"
"C80","Malignant neoplasm without specification of site","Solid organ malignancies","Primary Malignancy_Other Organs"
