"Code","Description","Condition","Sub-condition"
"E03.5","Myxoedema coma","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E03.8","Other specified hypothyroidism","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E03.9","Hypothyroidism, unspecified","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E05.0","Thyrotoxicosis with diffuse goitre","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E05.1","Thyrotoxicosis with toxic single thyroid nodule","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E05.2","Thyrotoxicosis with toxic multinodular goitre","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E05.5","Thyroid crisis or storm","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E05.8","Other thyrotoxicosis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E05.9","Thyrotoxicosis, unspecified","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E06.2","Chronic thyroiditis with transient thyrotoxicosis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E06.3","Autoimmune thyroiditis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E06.5","Other chronic thyroiditis","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"E06.9","Thyroiditis, unspecified","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
"H06.2","Dysthyroid exophthalmos","Hypo or hyperthyroidism","Hypo or hyperthyroidism"
