"Code","Description","Condition","Sub-condition"
"K47.1","Endarterectomy of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K49","Transluminal balloon angioplasty of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K49.1","Percutaneous transluminal balloon angioplasty of one coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K49.2","Percutaneous transluminal balloon angioplasty of multiple coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K49.3","Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K49.4","Percutaneous transluminal cutting balloon angioplasty of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K49.8","Other specified transluminal balloon angioplasty of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K49.9","Unspecified transluminal balloon angioplasty of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K50","Other therapeutic transluminal operations on coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K50.1","Percutaneous transluminal laser coronary angioplasty","Coronary heart disease","Coronary heart disease not otherwise specified"
"K50.4","Percutaneous transluminal atherectomy of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K50.8","Other specified other therapeutic transluminal operations on coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K50.9","Unspecified other therapeutic transluminal operations on coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K75","Percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K75.1","Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K75.2","Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug-eluting stents into coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K75.3","Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K75.4","Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC","Coronary heart disease","Coronary heart disease not otherwise specified"
"K75.8","Other specified percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K75.9","Unspecified percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K40","Saphenous vein graft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K40.1","Saphenous vein graft replacement of one coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K40.2","Saphenous vein graft replacement of two coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K40.3","Saphenous vein graft replacement of three coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K40.4","Saphenous vein graft replacement of four or more coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K40.8","Other specified saphenous vein graft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K40.9","Unspecified saphenous vein graft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K41","Other autograft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K41.1","Autograft replacement of one coronary artery NEC","Coronary heart disease","Coronary heart disease not otherwise specified"
"K41.2","Autograft replacement of two coronary arteries NEC","Coronary heart disease","Coronary heart disease not otherwise specified"
"K41.3","Autograft replacement of three coronary arteries NEC","Coronary heart disease","Coronary heart disease not otherwise specified"
"K41.4","Autograft replacement of four or more coronary arteries NEC","Coronary heart disease","Coronary heart disease not otherwise specified"
"K41.8","Other specified other autograft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K41.9","Unspecified other autograft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K42","Allograft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K42.1","Allograft replacement of one coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K42.2","Allograft replacement of two coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K42.3","Allograft replacement of three coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K42.4","Allograft replacement of four or more coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K42.8","Other specified allograft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K42.9","Unspecified allograft replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K43","Prosthetic replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K43.1","Prosthetic replacement of one coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K43.2","Prosthetic replacement of two coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K43.3","Prosthetic replacement of three coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K43.4","Prosthetic replacement of four or more coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K43.8","Other specified prosthetic replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K43.9","Unspecified prosthetic replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K44","Other replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K44.1","Replacement of coronary arteries using multiple methods","Coronary heart disease","Coronary heart disease not otherwise specified"
"K44.8","Other specified other replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K44.9","Unspecified other replacement of coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K45","Connection of thoracic artery to coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K45.1","Double anastomosis of mammary arteries to coronary arteries","Coronary heart disease","Coronary heart disease not otherwise specified"
"K45.2","Double anastomosis of thoracic arteries to coronary arteries NEC","Coronary heart disease","Coronary heart disease not otherwise specified"
"K45.3","Anastomosis of mammary artery to left anterior descending coronary artery","Coronary heart disease","Coronary heart disease not otherwise specified"
"K45.4","Anastomosis of mammary artery to coronary artery NEC","Coronary heart disease","Coronary heart disease not otherwise specified"
