"Code","Description","Condition","Sub-condition"
"L74.6","Creation of graft fistula for dialysis","Chronic renal disease","End stage renal disease"
"M01.1","Autotransplantation of kidney","Chronic renal disease","End stage renal disease"
"M01.2","Allotransplantation of kidney from live donor","Chronic renal disease","End stage renal disease"
"M01.3","Allotransplantation of kidney from cadaver NEC","Chronic renal disease","End stage renal disease"
"M01.4","Allotransplantation of kidney from cadaver heart beating","Chronic renal disease","End stage renal disease"
"M01.5","Allotransplantation of kidney from cadaver heart non-beating","Chronic renal disease","End stage renal disease"
"M01.8","Other specified transplantation of kidney","Chronic renal disease","End stage renal disease"
"M01.9","Unspecified transplantation of kidney","Chronic renal disease","End stage renal disease"
"M02.6","Excision of rejected transplanted kidney","Chronic renal disease","End stage renal disease"
"M02.7","Excision of transplanted kidney NEC","Chronic renal disease","End stage renal disease"
"M08.4","Exploration of transplanted kidney","Chronic renal disease","End stage renal disease"
"M17.2","Pre-transplantation of kidney work-up - recipient","Chronic renal disease","End stage renal disease"
"M17.4","Post-transplantation of kidney examination - recipient","Chronic renal disease","End stage renal disease"
"M17.8","Other specified interventions associated with transplantation of kidney","Chronic renal disease","End stage renal disease"
"M17.9","Unspecified interventions associated with transplantation of kidney","Chronic renal disease","End stage renal disease"
"X40.1","Renal dialysis","Chronic renal disease","End stage renal disease"
"X40.2","Peritoneal dialysis NEC","Chronic renal disease","End stage renal disease"
"X40.3","Haemodialysis NEC","Chronic renal disease","End stage renal disease"
"X40.5","Automated peritoneal dialysis","Chronic renal disease","End stage renal disease"
"X40.6","Continuous ambulatory peritoneal dialysis","Chronic renal disease","End stage renal disease"
"X41.1","Insertion of ambulatory peritoneal dialysis catheter","Chronic renal disease","End stage renal disease"
"X41.2","Removal of ambulatory peritoneal dialysis catheter","Chronic renal disease","End stage renal disease"
"X42.1","Insertion of temporary peritoneal dialysis catheter","Chronic renal disease","End stage renal disease"
