"Code","Description","Condition","Sub-condition"
"C60.1","Trabeculectomy","Glaucoma","Glaucoma"
"C60.2","Inclusion of iris","Glaucoma","Glaucoma"
"C60.3","Fixation of iris","Glaucoma","Glaucoma"
"C60.4","Iridoplasty NEC","Glaucoma","Glaucoma"
"C60.5","Insertion of tube into anterior chamber of eye to assist drainage of aqueous humour","Glaucoma","Glaucoma"
"C60.6","Viscocanulostomy","Glaucoma","Glaucoma"
"C60.8","Other specified filtering operations on iris","Glaucoma","Glaucoma"
"C60.9","Unspecified filtering operations on iris","Glaucoma","Glaucoma"
"C61.1","Laser trabeculoplasty","Glaucoma","Glaucoma"
"C61.2","Trabeculotomy","Glaucoma","Glaucoma"
"C61.3","Goniotomy","Glaucoma","Glaucoma"
"C61.4","Goniopuncture","Glaucoma","Glaucoma"
"C61.5","Viscogonioplasty","Glaucoma","Glaucoma"
"C61.8","Other specified other operations on trabecular meshwork of eye","Glaucoma","Glaucoma"
"C61.9","Unspecified other operations on trabecular meshwork of eye","Glaucoma","Glaucoma"
"C62.1","Iridosclerotomy","Glaucoma","Glaucoma"
"C62.2","Surgical iridotomy","Glaucoma","Glaucoma"
"C62.3","Laser iridotomy","Glaucoma","Glaucoma"
"C62.4","Correction iridodialysis NEC","Glaucoma","Glaucoma"
"C62.8","Other specified incision of iris","Glaucoma","Glaucoma"
"C62.9","Unspecified incision of iris","Glaucoma","Glaucoma"
