"Code","Description","Condition","Sub-condition"
"G35","Operations on ulcer of stomach","Peptic ulcer disease","Peptic ulcer disease"
"G35.1","Closure of perforated ulcer of stomach","Peptic ulcer disease","Peptic ulcer disease"
"G35.2","Closure of ulcer of stomach NEC","Peptic ulcer disease","Peptic ulcer disease"
"G35.8","Other specified operations on ulcer of stomach","Peptic ulcer disease","Peptic ulcer disease"
"G35.9","Unspecified operations on ulcer of stomach","Peptic ulcer disease","Peptic ulcer disease"
"G52","Operations on ulcer of duodenum","Peptic ulcer disease","Peptic ulcer disease"
"G52.1","Closure of perforated ulcer of duodenum","Peptic ulcer disease","Peptic ulcer disease"
"G52.2","Suture of ulcer of duodenum NEC","Peptic ulcer disease","Peptic ulcer disease"
"G52.3","Oversew of blood vessel of duodenal ulcer","Peptic ulcer disease","Peptic ulcer disease"
"G52.8","Other specified operations on ulcer of duodenum","Peptic ulcer disease","Peptic ulcer disease"
"G52.9","Unspecified operations on ulcer of duodenum","Peptic ulcer disease","Peptic ulcer disease"
