"Code","Description","Condition","Sub-condition"
"14AN.","H/O: atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"14AR.","History of atrial flutter","Atrial fibrillation","Atrial fibrillation"
"212R.","Atrial fibrillation resolved","Atrial fibrillation","Atrial fibrillation"
"662S.","Atrial fibrillation monitoring","Atrial fibrillation","Atrial fibrillation"
"6A9..","Atrial fibrillation annual review","Atrial fibrillation","Atrial fibrillation"
"9Os..","Atrial fibrillation monitoring administration","Atrial fibrillation","Atrial fibrillation"
"9Os0.","Atrial fibrillation monitoring first letter","Atrial fibrillation","Atrial fibrillation"
"9Os1.","Atrial fibrillation monitoring second letter","Atrial fibrillation","Atrial fibrillation"
"9Os2.","Atrial fibrillation monitoring third letter","Atrial fibrillation","Atrial fibrillation"
"9Os3.","Atrial fibrillation monitoring verbal invite","Atrial fibrillation","Atrial fibrillation"
"9Os4.","Atrial fibrillation monitoring telephone invite","Atrial fibrillation","Atrial fibrillation"
"9hF..","Exception reporting: atrial fibrillation quality indicators","Atrial fibrillation","Atrial fibrillation"
"9hF1.","Excepted from atrial fibrillation quality indicators: Informed dissent","Atrial fibrillation","Atrial fibrillation"
"G5732","Paroxysmal atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"G5734","Permanent atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"G5735","Persistent atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"3272.","ECG: atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"G5730","Atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"G5733","Non-rheumatic atrial fibrillation","Atrial fibrillation","Atrial fibrillation"
"G573.","Atrial fibrillation and flutter","Atrial fibrillation","Atrial fibrillation"
"G573z","Atrial fibrillation and flutter NOS","Atrial fibrillation","Atrial fibrillation"
"3273.","ECG: atrial flutter","Atrial fibrillation","Atrial fibrillation"
"G5731","Atrial flutter","Atrial fibrillation","Atrial fibrillation"
