"Code","Description","Condition","Sub-condition"
"146D.","H/O: manic depressive disorder","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"1S42.","Manic mood","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"212V.","Bipolar affective disorder resolved","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1100","Single manic episode, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1101","Single manic episode, mild","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1106","Single manic episode in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E110.","Manic disorder, single episode","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1116","Recurrent manic episodes, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E111.","Recurrent manic episodes","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1140","Bipolar affective disorder, currently manic, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1146","Bipolar affective disorder, currently manic, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E114.","Bipolar affective disorder, currently manic","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1150","Bipolar affective disorder, currently depressed, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1152","Bipolar affective disorder, currently depressed, moderate","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1154","Bipolar affective disorder, currently depressed, severe, with psychosis","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1156","Bipolar affective disorder, currently depressed, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E115.","Bipolar affective disorder, currently depressed","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1160","Mixed bipolar affective disorder, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1165","Mixed bipolar affective disorder, in partial or unspecified remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1166","Mixed bipolar affective disorder, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E116.","Mixed bipolar affective disorder","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E116z","Mixed bipolar affective disorder, NOS","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E1176","Unspecified bipolar affective disorder, in full remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E117.","Unspecified bipolar affective disorder","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E117z","Unspecified bipolar affective disorder, NOS","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E11y0","Unspecified manic-depressive psychoses","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"E11y.","Other and unspecified manic-depressive psychoses","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu300","[X]Hypomania","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu301","[X]Mania without psychotic symptoms","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu30.","[X]Manic episode","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu30z","[X]Manic episode, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu310","[X]Bipolar affective disorder, current episode hypomanic","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu314","[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu315","[X]Bipolar affective disorder, current episode severe depression with psychotic symptoms","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu316","[X]Bipolar affective disorder, current episode mixed","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu317","[X]Bipolar affective disorder, currently in remission","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu319","[X]Bipolar affective disorder type II","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu31.","[X]Bipolar affective disorder","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu31y","[X]Other bipolar affective disorders","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"Eu31z","[X]Bipolar affective disorder, unspecified","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
"ZRby1","Profile of mood states, bipolar","Bipolar affective disorder and mania","Bipolar affective disorder and mania"
