"Code","Description","Condition","Sub-condition"
"6A2..","Coronary heart disease annual review","Coronary heart disease","Coronary heart disease not otherwise specified"
"6A4..","Coronary heart disease review","Coronary heart disease","Coronary heart disease not otherwise specified"
"8B3k.","Coronary heart disease medication review","Coronary heart disease","Coronary heart disease not otherwise specified"
"8H2V.","Admit ischaemic heart disease emergency","Coronary heart disease","Coronary heart disease not otherwise specified"
"G3...","Ischaemic heart disease","Coronary heart disease","Coronary heart disease not otherwise specified"
"G31..","Other acute and subacute ischaemic heart disease","Coronary heart disease","Coronary heart disease not otherwise specified"
"G3110","Myocardial infarction aborted","Coronary heart disease","Coronary heart disease not otherwise specified"
"G31y.","Other acute and subacute ischaemic heart disease","Coronary heart disease","Coronary heart disease not otherwise specified"
"G31y3","Transient myocardial ischaemia","Coronary heart disease","Coronary heart disease not otherwise specified"
"G34..","Other chronic ischaemic heart disease","Coronary heart disease","Coronary heart disease not otherwise specified"
"G340.","Coronary atherosclerosis","Coronary heart disease","Coronary heart disease not otherwise specified"
"G343.","Ischaemic cardiomyopathy","Coronary heart disease","Coronary heart disease not otherwise specified"
"G34y1","Chronic myocardial ischaemia","Coronary heart disease","Coronary heart disease not otherwise specified"
"G34yz","Other specified chronic ischaemic heart disease NOS","Coronary heart disease","Coronary heart disease not otherwise specified"
"G34z.","Other chronic ischaemic heart disease NOS","Coronary heart disease","Coronary heart disease not otherwise specified"
"G34z0","Asymptomatic coronary heart disease","Coronary heart disease","Coronary heart disease not otherwise specified"
"G3y..","Other specified ischaemic heart disease","Coronary heart disease","Coronary heart disease not otherwise specified"
"G3z..","Ischaemic heart disease NOS","Coronary heart disease","Coronary heart disease not otherwise specified"
"Gyu3.","[X]Ischaemic heart diseases","Coronary heart disease","Coronary heart disease not otherwise specified"
